"name","playerid","Bats","Age_2024","G_2024","AB_2024","PA_2024","H_2024","X1B_2024","X2B_2024","X3B_2024","HR_2024","Age_2023","G_2023","AB_2023","PA_2023","H_2023","X1B_2023","X2B_2023","X3B_2023","HR_2023","Age_2022","G_2022","AB_2022","PA_2022","H_2022","X1B_2022","X2B_2022","X3B_2022","HR_2022","Age_2021","G_2021","AB_2021","PA_2021","H_2021","X1B_2021","X2B_2021","X3B_2021","HR_2021","Age_2020","G_2020","AB_2020","PA_2020","H_2020","X1B_2020","X2B_2020","X3B_2020","HR_2020","Age_2019","G_2019","AB_2019","PA_2019","H_2019","X1B_2019","X2B_2019","X3B_2019","HR_2019","Age_2018","G_2018","AB_2018","PA_2018","H_2018","X1B_2018","X2B_2018","X3B_2018","HR_2018","R_2018"
"Luis Severino",15890,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,32,5,5,0,0,0,0,0,0
"Luis Torrens",15905,"R",28,48,118,130,27.8350515463917,17.9775280898876,7.76699029126214,0,2.36220472440945,27,18,28,30,7.22322232223222,3.88349514563107,3.33414753297509,0,0,26,57,151,166,35.0515463917526,31.1827956989247,2.1978021978022,0,2.38095238095238,25,108,346,378,92.3076923076923,56.0439560439561,17.5824175824176,2.32558139534884,15.7894736842105,24,25,70,78,19.5762999886711,13.9152435167615,4.8026048026048,0,0.99009900990099,23,7,14,16,3.2258064516129,2.12765957446809,1.19047619047619,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aledmys Díaz",15937,"R",33,14,33,34,3,2.88461538461538,0,0,0,32,109,315,344,75.7894736842105,50.5376344086021,19.047619047619,1.02040816326531,4.54545454545455,31,92,305,327,77.8947368421053,52.1276595744681,13.9784946236559,0,11.0091743119266,30,84,294,319,78.3505154639175,49.4949494949495,21.5909090909091,0,8,29,17,58,59,14.8936170212766,6.12244897959184,5.49450549450549,0,3.48837209302326,28,69,210,247,55.8823529411765,35,13.6363636363636,1.38888888888889,7.03125,27,130,422,452,111,72.0430107526882,23.8532110091743,0,15.3846153846154,52.8846153846154
"Austin Nola",15941,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,52,130,154,19.7916666666667,15.625,3.26086956521739,0,0.99009900990099,32,110,347,397,94.5652173913043,68,20.5479452054795,0,4.49438202247191,31,56,173,194,50,35.4838709677419,12.5,0,1.98019801980198,30,48,161,184,47.4000226577546,30.955091714105,9.02523402523403,1.58730158730159,6.5633982753114,29,79,238,267,67.3684210526316,43.1578947368421,13.7931034482759,1.72413793103448,9.25925925925926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D.J. Snelten",15949,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,1,1,0,0,0,0,0,0
"Travis Demeritte",15958,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,26,89,96,18.8118811881188,13.5922330097087,2.17391304347826,0,2.75229357798165,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,18,29,33,4.71698113207547,4.04040404040404,0.78125,0,0,24,48,169,186,35.5140186915888,23.4234234234234,7.29166666666667,0.985221674876847,3.09278350515464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keury Mella",15964,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,1,1,0,0,0,0,0,24,4,2,2,0,0,0,0,0,0
"Ivan Castillo",15971,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3,3,4,1.03434009102193,1.01667344448963,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryder Jones",15982,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,5,8,8,2.9126213592233,1.01010101010101,0,0,2.73972602739726,2.08333333333333
"Clint Frazier",15983,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,28,33,66,76,13,10.7843137254902,1.0989010989011,1.49253731343284,0,27,19,37,45,8.42105263157895,5.10204081632653,3.65853658536585,0,0,26,66,183,218,35.7894736842105,20.2020202020202,11.25,0,4.80769230769231,25,39,131,160,35,21.505376344086,6.45161290322581,0.775193798449612,6.15384615384615,24,69,225,246,62.5,34,17.0731707317073,0,11.7647058823529,23,15,34,41,8.7378640776699,5.88235294117647,3.2258064516129,0,0,8.33333333333333
