"name","Bats","predicted_PA","team"
"Chris Taylor","R",230.8537,"LAD"
"Travis Jankowski","L",143.066,NA
"Rob Refsnyder","R",280.92226,"BOS"
"Matt Reynolds","R",163.922,NA
"Matt Duffy","R",137.939,NA
"Joey Wendle","L",126.008,NA
"Anthony Bemboom","L",180.348,NA
"Tyler Heineman","B",118.176781,"TOR"
"Eric Haase","R",190.98262,"MIL"
"Joey Gallo","L",197.73468,"CHW"
"Daniel Vogelbach","L",207.218,NA
"Byron Buxton","R",464.9636,"MIN"
"Carlos Correa","R",512.09121,"MIN"
"Andrew Velazquez","R",162.73152,"NYY"
"Jorge Soler","R",483.11406,"LAA"
"Mitch Haniger","R",256.8519,"SEA"
"Matt Olson","L",711.56924,"ATL"
"Raimel Tapia","L",201.968,NA
"Joey Meneses","R",346.38873,"NYM"
"Harold Ramirez","R",319.535,NA
"Jake Cave","L",217.589,NA
"Anthony Santander","B",612.47839,"TOR"
"Franmil Reyes","R",203.402,NA
"Franchy Cordero","L",208.56744,"WSN"
"David Bote","R",237.13746,"LAD"
"Harold Castro","L",176.5088,"KCR"
"Manuel Margot","R",294.62,NA
"Yu Chang","R",189.49,NA
"Luke Voit","R",145.629,NA
"Kyle Farmer","R",329.67548,"COL"
"Mike Yastrzemski","L",421.854,"SFG"
"Tony Kemp","L",183.593,NA
"Andrew Knapp","B",118.47,NA
"Johan Camargo","B",172.645,NA
"Victor Caratini","B",318.4609197,"HOU"
"Adam Engel","R",194.127,NA
"Jonathan Davis","R",153.734,NA
"Ryan McMahon","L",668.0143,"COL"
"Hunter Dozier","R",202.363,NA
"Tim Locastro","R",146.945,NA
"Trey Mancini","R",206.79462,"ARI"
"Mitch Garver","R",228.5766,"SEA"
"Tim Anderson","R",244.30428,"LAA"
"Jake Bauers","L",218.45049,"MIL"
"Brandon Dixon","R",153.114,NA
"Adam Frazier","L",267.64192,"PIT"
"Austin Wynns","R",207.75564,"CIN"
"Mike Tauchman","L",338.09292,"CHW"
"Garrett Cooper","R",270.90792,"ATL"
"Jeff McNeil","L",330.88692,"NYM"
"Kris Bryant","R",178.41844,"COL"
"Hunter Renfroe","R",364.29156,"KCR"
"JP Crawford","L",435.48232,"SEA"
"Jamie Westbrook","R",210.189,NA
"Amed Rosario","R",302.84397,"WSN"
"Mike Ford","L",212.374,"MIN"
"Aaron Judge","R",545.87424,"NYY"
"Dominic Smith","L",272.80852,"NYY"
"Billy McKinney","L",95.034,NA
"Austin Meadows","L",192.614,NA
"Reese McGuire","L",161.44951,"CHC"
"Jose Abreu","R",288.77,NA
"Rowdy Tellez","L",302.48,NA
"Tyler O'Neill","R",561.35768,"BAL"
"Tyler Wade","L",84.40918,"SDP"
"Yonathan Daza","R",170.507,NA
"Miguel Andujar","R",295.0682,"ATH"
"Luis Torrens","R",182.40276,"NYM"
"Aledmys Diaz","R",164.49,NA
"Austin Nola","R",180.86604,"COL"
"Clint Frazier","R",158.819,NA
"Willy Adames","R",615.497,"SFG"
"Cody Bellinger","L",502.24272,"NYY"
"Austin Slater","R",265.173,"CHW"
"JD Davis","R",254.44386,"LAA"
"Trea Turner","R",495.249,"PHI"
"Nick Gordon","L",237.38307,"BAL"
"Pablo Reyes","R",170.23584,"NYY"
"Oscar Mercado","R",152.146,NA
"Michael Conforto","L",356.10845,"LAD"
"Francisco Mejia","B",191.35,NA
"Jordan Luplow","R",148.611,NA
"Thairo Estrada","R",331.8064,"COL"
"Christian Arroyo","R",173.706,"PHI"
"Ryan O'Hearn","L",420.25545,"BAL"
"Luis Guillorme","L",194.13801,"HOU"
"Rhys Hoskins","R",349.6894,"MIL"
"Kyle Schwarber","L",635.76874,"PHI"
"Forrest Wall","L",125.54076,"SDP"
"Matt Chapman","R",628.258,"SFG"
"Isiah KinerFalefa","R",397.145,"PIT"
"Mauricio Dubon","R",290.029,"HOU"
"Danny Jansen","R",324.90247,"TBR"
"Ozzie Albies","B",504.2981307,"ATL"
