"name","Bats","predicted_PA","team"
"Pedro Pages","R",263.83141,"STL"
"Blake Sabol","L",237.81302,"BOS"
"Jared Triolo","R",337.227,"PIT"
"Grae Kessinger","R",117.53201,"ARI"
"Shea Langeliers","R",468.61248,"ATH"
"Braden Shewmake","L",179.4046,"NYY"
"Andre Lipcius","R",186.256,"CHW"
"Michael Toglia","B",430.1624472,"COL"
"Ryan Kreidler","R",112.30408,"DET"
"Corbin Carroll","L",638.15335,"ARI"
"Michael Harris II","L",543.35071,"ATL"
"Kerry Carpenter","L",430.93908,"DET"
"Orelvis Martinez","R",183.1308,"TOR"
"Kevin Alcantara","R",257.91168,"CHC"
"Riley Greene","L",555.01479,"DET"
"Nasim Nunez","B",249.7308813,"WSN"
"Vaughn Grissom","R",270.39858,"BOS"
"Francisco Alvarez","R",398.79423,"NYM"
"Brett Baty","L",242.40489,"NYM"
"Dominic Fletcher","L",246.09816,"CHW"
"Kyle Stowers","L",317.42085,"MIA"
"Andrew Vaughn","R",527.458,"CHW"
"Tyler Fitzgerald","R",363.336,"SFG"
"Darell Hernaiz","R",316.42338,"ATH"
"Adley Rutschman","B",664.3034035,"BAL"
"Gunnar Henderson","L",637.34134,"BAL"
"Bryson Stott","L",523.89003,"PHI"
"Oliver Dunn","L",199.05069,"MIL"
"Josh Jung","R",284.58045,"TEX"
"Michael Busch","L",455.39587,"CHC"
"Spencer Steer","R",541.1763,"CIN"
"Jonny DeLuca","R",319.35019,"TBR"
"JJ Bleday","L",556.97455,"ATH"
"Kameron Misner","L",149.21184,"TBR"
"Josh Smith","L",518.51496,"TEX"
"Kyren Paris","R",261.8451,"LAA"
"Dominic Canzone","L",265.6836,"SEA"
"Matt Wallner","L",375.126,"MIN"
"Luis Matos","R",367.637,"SFG"
"Davis Wendzel","R",187.32504,"CIN"
"Spencer Horwitz","L",424.7464,"PIT"
"Noelvi Marte","R",364.44906,"CIN"
"Angel Martinez","B",355.1565909,"CLE"
"Luisangel Acuna","R",312.51534,"NYM"
"Jonatan Clase","B",277.6011,"TOR"
"Elly De La Cruz","B",624.90211,"CIN"
"Austin Martin","R",335.3099,"MIN"
"Dillon Dingler","R",260.49282,"DET"
"Spencer Torkelson","R",363.15468,"DET"
"Tyler Soderstrom","L",359.6814,"ATH"
"Zach DeLoach","L",205.74378,"CHW"
"Jordan Walker","R",368.7194,"STL"
"Patrick Bailey","B",393.406,"SFG"
"Masyn Winn","R",617.15128,"STL"
"Nick Gonzales","R",347.741,"PIT"
"Rece Hinds","R",327.3333,"CIN"
"Justin Foscue","R",165.46266,"TEX"
"Nick Yorke","R",362.77,"PIT"
"HaSeong Kim","R",450.90256,"TBR"
"David Hamilton","L",379.41897,"BOS"
"Edouard Julien","L",326.284,"MIN"
"Duke Ellis","L",153.13768,"NYY"
"Garrett Mitchell","L",310.34658,"MIL"
"Austin Wells","L",391.48208,"NYY"
"Casey Schmitt","R",272.755,"SFG"
"Jacob Hurtubise","L",217.11162,"CIN"
"Alika Williams","R",182.285,"PIT"
"Alec Burleson","L",507.338,"STL"
"Nick Loftin","R",280.15632,"KCR"
"Anthony Volpe","R",564.5424,"NYY"
"Vinnie Pasquantino","L",570.7936,"KCR"
"Michael Massey","L",437.28776,"KCR"
"Joey Wiemer","R",228.25368,"KCR"
"Eric Yang","R",137.1288,"CIN"
"Brett Wisely","L",287.816,"SFG"
"Drew Romo","B",319.5609772,"COL"
"Pete CrowArmstrong","L",432.65471,"CHC"
"Pedro Leon","R",191.757,"HOU"
"Tyler Gentry","R",145.53648,"KCR"
"Shay Whitcomb","R",233.679,"HOU"
"Evan Carter","L",338.8236,"TEX"
"Jordan Westburg","R",490.92368,"BAL"
"Matt Mervis","L",195.37558,"MIA"
"Thomas Saggese","R",367.9469,"STL"
"Colt Keith","L",498.68676,"DET"
"Adael Amador","B",332.4721707,"COL"
"Jasson Dominguez","B",260.7155496,"NYY"
"Junior Caminero","R",323.82577,"TBR"
"Javier Sanoja","R",299.03544,"MIA"
"Coby Mayo","R",186.06848,"BAL"
"Jackson Chourio","R",512.04432,"MIL"
"Blake Dunn","R",213.74202,"CIN"
"Jackson Merrill","L",560.31144,"SDP"
"James Wood","L",483.92208,"WSN"
"Bryce Teodosio","R",143.73612,"LAA"
"Ryan Bliss","R",223.2153,"SEA"
"Adrian Del Castillo","L",301.93243,"ARI"
"Billy Cook","R",254.185,"PIT"
"Trey Sweeney","L",308.95623,"DET"
"Ben Rice","L",244.66664,"NYY"
"Colton Cowser","L",522.90937,"BAL"
"Connor Norby","R",321.67434,"MIA"
"JustynHenry Malloy","R",250.57816,"DET"
"Henry Davis","R",237.078,"PIT"
"Sal Frelick","L",432.98382,"MIL"
"Joey Loperfido","L",321.86734,"TOR"
"Will Wagner","L",245.55065,"TOR"
"Matt McLain","R",294.75858,"CIN"
"Hunter Goodman","R",423.41624,"COL"
"Zack Gelof","R",461.4232,"ATH"
"Niko Kavadas","L",233.32283,"LAA"
"Brett Harris","R",234.1857,"ATH"
"Kyle Manzardo","L",337.37316,"CLE"
"Darren Baker","L",254.79036,"WSN"
"Jacob Young","R",404.18334,"WSN"
"Tyler Black","L",249.05772,"MIL"
"Jordan Lawlar","R",185.99917,"ARI"
"Christian EncarnacionStrand","R",288.9711,"CIN"
"Seiya Suzuki","R",576.1968,"CHC"
"Oscar Colas","L",204.94782,"CHW"
"Heston Kjerstad","L",194.09629,"BAL"
"Zach Neto","R",567.05814,"LAA"
"Victor Scott II","L",304.343,"STL"
"Graham Pauley","L",263.89196,"MIA"
"Brooks Baldwin","B",290.9037978,"CHW"
"Tyler Locklear","R",225.0504,"SEA"
"Jordan Beck","R",309.34068,"COL"
"Jace Jung","L",318.80673,"DET"
"Wade Meckler","L",144.679,"SFG"
"Zach Dezenzo","R",218.582,"HOU"
"Trey Lipscomb","R",264.40425,"WSN"
"Brooks Lee","B",265.5062889,"MIN"
"Nacho Alvarez Jr","R",277.5471,"ATL"
"Jackson Holliday","L",336.398,"BAL"
"Masataka Yoshida","L",409.84422,"BOS"
"Nolan Schanuel","L",547.52911,"LAA"
"Jacob Wilson","R",297.91706,"ATH"
"Wyatt Langford","R",544.50693,"TEX"
"Dylan Crews","R",384.07941,"WSN"
"Jung Hoo Lee","L",248.879,"SFG"
