"name","Bats","predicted_avg","team"
"Chris Taylor","R",0.19012,"LAD"
"Travis Jankowski","L",0.216,NA
"Rob Refsnyder","R",0.24698,"BOS"
"Matt Reynolds","R",0.217,NA
"Matt Duffy","R",0.231,NA
"Joey Wendle","L",0.204,NA
"Anthony Bemboom","L",0.192,NA
"Tyler Heineman","B",0.2042055,"TOR"
"Eric Haase","R",0.17108,"MIL"
"Joey Gallo","L",0.16434,"CHW"
"Daniel Vogelbach","L",0.23,NA
"Byron Buxton","R",0.24947,"MIN"
"Carlos Correa","R",0.26664,"MIN"
"Andrew Velazquez","R",0.20352,"NYY"
"Jorge Soler","R",0.2178,"LAA"
"Mitch Haniger","R",0.189,"SEA"
"Matt Olson","L",0.26765,"ATL"
"Raimel Tapia","L",0.249,NA
"Joey Meneses","R",0.21762,"NYM"
"Harold Ramirez","R",0.255,NA
"Jake Cave","L",0.219,NA
"Anthony Santander","B",0.244652,"TOR"
"Franmil Reyes","R",0.195,NA
"Franchy Cordero","L",0.22572,"WSN"
"David Bote","R",0.23814,"LAD"
"Harold Castro","L",0.21736,"KCR"
"Manuel Margot","R",0.225,NA
"Yu Chang","R",0.2,NA
"Luke Voit","R",0.216,NA
"Kyle Farmer","R",0.25636,"COL"
"Mike Yastrzemski","L",0.223,"SFG"
"Tony Kemp","L",0.242,NA
"Andrew Knapp","B",0.182,NA
"Johan Camargo","B",0.224,NA
"Victor Caratini","B",0.2433585,"HOU"
"Adam Engel","R",0.22,NA
"Jonathan Davis","R",0.224,NA
"Ryan McMahon","L",0.253,"COL"
"Hunter Dozier","R",0.214,NA
"Tim Locastro","R",0.228,NA
"Trey Mancini","R",0.24075,"ARI"
"Mitch Garver","R",0.1764,"SEA"
"Tim Anderson","R",0.22671,"LAA"
"Jake Bauers","L",0.20646,"MIL"
"Brandon Dixon","R",0.231,NA
"Adam Frazier","L",0.21736,"PIT"
"Austin Wynns","R",0.22134,"CIN"
"Mike Tauchman","L",0.24057,"CHW"
"Garrett Cooper","R",0.24174,"ATL"
"Jeff McNeil","L",0.22204,"NYM"
"Kris Bryant","R",0.22388,"COL"
"Hunter Renfroe","R",0.22788,"KCR"
"JP Crawford","L",0.21749,"SEA"
"Jamie Westbrook","R",0.221,NA
"Amed Rosario","R",0.26235,"WSN"
"Mike Ford","L",0.214,"MIN"
"Aaron Judge","R",0.2928,"NYY"
"Dominic Smith","L",0.20608,"NYY"
"Billy McKinney","L",0.222,NA
"Austin Meadows","L",0.226,NA
"Reese McGuire","L",0.2222,"CHC"
"Jose Abreu","R",0.214,NA
"Rowdy Tellez","L",0.212,NA
"Tyler O'Neill","R",0.21736,"BAL"
"Tyler Wade","L",0.19646,"SDP"
"Yonathan Daza","R",0.218,NA
"Miguel Andujar","R",NA,"ATH"
"Luis Torrens","R",0.20739,"NYM"
"Aledmys Diaz","R",0.186,NA
"Austin Nola","R",0.2378,"COL"
"Clint Frazier","R",0.219,NA
"Willy Adames","R",0.252,"SFG"
"Cody Bellinger","L",0.2484,"NYY"
"Austin Slater","R",0.245,"CHW"
"JD Davis","R",0.22572,"LAA"
"Trea Turner","R",0.283,"PHI"
"Nick Gordon","L",0.21939,"BAL"
"Pablo Reyes","R",0.20832,"NYY"
"Oscar Mercado","R",0.228,NA
"Michael Conforto","L",0.2223,"LAD"
"Francisco Mejia","B",0.225,NA
"Jordan Luplow","R",0.203,NA
"Thairo Estrada","R",0.26216,"COL"
"Christian Arroyo","R",0.219,"PHI"
"Ryan O'Hearn","L",0.25647,"BAL"
"Luis Guillorme","L",0.23661,"HOU"
"Rhys Hoskins","R",0.2021,"MIL"
"Kyle Schwarber","L",0.23937,"PHI"
"Forrest Wall","L",0.20116,"SDP"
"Matt Chapman","R",0.234,"SFG"
"Isiah KinerFalefa","R",0.264,"PIT"
"Mauricio Dubon","R",0.242,"HOU"
"Danny Jansen","R",0.2328,"TBR"
"Ozzie Albies","B",0.2695378,"ATL"
"Connor Joe","R",0.22368,"SDP"
"Yandy Diaz","R",0.2716,"TBR"
"Kevin Padlo","R",0.203,NA
"Luis Urias","R",0.211,NA
"Greg Allen","B",0.26,NA
"Brian O'Keefe","R",0.189,"KCR"
"Jason Vosler","L",0.223,NA
"Jose Trevino","R",0.23868,"CIN"
"Aramis Garcia","R",0.214,"ARI"
"Jonah Heim","B",0.2353533,"TEX"
"Lane Thomas","R",0.22705,"CLE"
"Derek Hill","R",0.20808,"MIA"
"Chadwick Tromp","R",0.21114,"ATL"
"Eddy Alvarez","L",0.21715,"ATL"
"Gleyber Torres","R",0.24206,"DET"
"Edmundo Sosa","R",0.255,"PHI"
"Alex Verdugo","L",0.253,NA
"Jose Herrera","B",0.2090494,"ARI"
"Meibrys Viloria","L",0.204,NA
"Ramon Laureano","R",0.24336,"BAL"
"Chad Wallach","R",0.198,"TEX"
"Yoan Moncada","B",0.2177818,"LAA"
"Jorge Mateo","R",0.234,"BAL"
"Alex Jackson","R",0.20832,"NYY"
"Michael Chavis","R",0.2205,"LAD"
"Cole Tucker","B",0.235,NA
"Willi Castro","B",0.2478151,"MIN"
"Rafael Devers","L",0.28589,"BOS"
"Jose Siri","R",0.19995,"NYM"
"Eloy Jimenez","R",0.24056,"TBR"
"Taylor Ward","R",0.24354,"LAA"
"Myles Straw","R",0.2499,"TOR"
"Alex Bregman","R",0.27136,"BOS"
"Kevin Newman","R",0.24057,"LAA"
"Matt Beaty","L",0.232,NA
"Josh Lester","L",0.201,NA
"DJ Stewart","L",0.22568,"PIT"
"Jakson Reetz","R",0.23529,"NYM"
"Willie Calhoun","L",0.22,NA
"Tyler Nevin","R",0.236,NA
"Andrew Benintendi","L",0.22572,"CHW"
"Brendan Rodgers","R",0.237,NA
"Ian Happ","B",0.2354595,"CHC"
"Isan Diaz","L",0.224,NA
"Cedric Mullins","L",0.2472,"BAL"
"Andrew Stevenson","L",0.211,NA
"Sam Hilliard","L",0.2185,"COL"
"Ty France","R",0.23432,"MIN"
"Tyler Stephenson","R",0.24072,"CIN"
"David Fletcher","R",0.2193,"ATL"
"Paul DeJong","R",0.17721,"WSN"
"Harrison Bader","R",0.24846,"MIN"
"Mark Mathias","R",0.22,NA
"Jake Cronenworth","L",0.2209,"SDP"
"Dylan Moore","R",0.2133,"SEA"
"Sam Haggerty","B",0.2313129,"TEX"
"Kyle Garlick","R",0.211,NA
"Garrett Stubbs","L",0.23432,"PHI"
"Nathan Lukes","L",0.25608,"TOR"
"LaMonte Wade Jr","L",0.245,"SFG"
"Seth Brown","L",NA,"ATH"
"Brett Sullivan","L",0.20304,"SDP"
"Brian Anderson","R",0.229,NA
"Dansby Swanson","R",0.23424,"CHC"
"Edwin Rios","L",0.18685,"CIN"
"Kyle Tucker","L",0.27169,"CHC"
"Daz Cameron","R",0.23296,"BAL"
"Austin Riley","R",0.23868,"ATL"
"Victor Robles","R",0.2349,"SEA"
"Ryan Mountcastle","R",0.2652,"BAL"
"Travis Blankenhorn","L",0.224,NA
"Juan Yepez","R",0.24156,"WSN"
"Ronald Acuna Jr","R",0.26622,"ATL"
"Ali Sanchez","R",0.27132,"TOR"
"Trent Grisham","L",0.2208,"NYY"
"Luis Arraez","L",0.26884,"SDP"
"Ke'Bryan Hayes","R",0.261,"PIT"
"Jared Walsh","L",0.174,NA
"Ramon Urias","R",0.2496,"BAL"
"Andy Ibanez","R",0.22736,"DET"
"Jose Azocar","R",0.2325,"NYM"
"Josh Naylor","L",0.26664,"ARI"
"Jahmai Jones","R",0.2156,"DET"
"Brandon Lowe","L",0.22466,"TBR"
"Seby Zavala","R",0.19928,"BOS"
"Danny Mendick","R",0.247,NA
"Leody Taveras","B",0.2474745,"TEX"
"Estevan Florial","L",0.197,NA
"Zack Collins","L",0.209,NA
"Will Smith","R",0.24206,"LAD"
"Yuli Gurriel","R",0.228,NA
"Taylor Kohlwey","L",0.21,NA
"Lourdes Gurriel Jr","R",0.26964,"ARI"
"Chris Okey","R",0.20874,"LAD"
"Pete Alonso","R",0.23715,"NYM"
"Cavan Biggio","L",0.2288,"KCR"
"Jake Fraley","L",0.26159,"CIN"
"Garrett Hampson","R",0.23647,"ARI"
"Stone Garrett","R",0.27522,"WSN"
"Adolis Garcia","R",0.23067,"TEX"
"Randy Arozarena","R",0.2358,"SEA"
"Armando Alvarez","R",0.24038,"MIN"
"Nick Senzel","R",0.23,"CHW"
"Alex Call","R",0.23265,"WSN"
"Donovan Walton","L",0.21203,"NYM"
"Matt Thaiss","L",0.20493,"CHW"
"Bryan Reynolds","B",0.2813432,"PIT"
"Nicky Lopez","L",0.25048,"CHC"
"Eli White","R",0.24378,"ATL"
"Sean Murphy","R",0.24174,"ATL"
"Luke Raley","L",0.2002,"SEA"
"Weston Wilson","R",0.217,"PHI"
"Austin Hays","R",0.24684,"CIN"
"Trenton Brooks","L",0.21432,"SDP"
"Zach McKinstry","L",0.22374,"DET"
"Brian Serven","R",0.18914,"DET"
"Yonny Hernandez","B",0.187903,"NYM"
"Jake Rogers","R",0.2107,"DET"
"Andruw Monasterio","R",0.21714,"MIL"
"Cooper Hummel","B",0.1400553,"HOU"
"Tommy Edman","B",0.2409349,"LAD"
"Kyle Lewis","R",0.176,NA
"Andrew Knizner","R",0.22671,"WSN"
"TJ Friedl","L",0.25553,"CIN"
"Yordan Alvarez","L",0.30492,"HOU"
"Zack Short","R",0.21,"HOU"
"Nathaniel Lowe","L",0.26136,"WSN"
"Chas McCormick","R",0.231,"HOU"
"Bryan De La Cruz","R",0.24072,"ATL"
"Otto Lopez","R",0.23052,"MIA"
"Keibert Ruiz","B",0.2478708,"WSN"
"Vladimir Guerrero Jr","R",0.29988,"TOR"
"Bo Bichette","R",0.26418,"TOR"
"Brent Rooker","R",NA,"ATH"
"Daniel Johnson","L",0.229,NA
"Mike Brosseau","R",0.20256,"SDP"
"Edward Olivares","R",0.25,NA
"Fernando Tatis Jr","R",0.26304,"SDP"
"Darick Hall","L",0.19656,"PIT"
"Carlos Narvaez","R",0.25334,"BOS"
"Josh Rojas","L",0.22968,"CHW"
"Shohei Ohtani","L",0.29355,"LAD"
