"name","Bats","predicted_avg","team"
"Grae Kessinger","R",0.22898,"ARI"
"Shea Langeliers","R",NA,"ATH"
"Braden Shewmake","L",0.18952,"NYY"
"Andre Lipcius","R",0.229,"CHW"
"Michael Toglia","B",0.2283534,"COL"
"Ryan Kreidler","R",0.20678,"DET"
"Corbin Carroll","L",0.26462,"ARI"
"Michael Harris II","L",0.26866,"ATL"
"Kerry Carpenter","L",0.23958,"DET"
"Orelvis Martinez","R",0.23154,"TOR"
"Kevin Alcantara","R",0.2016,"CHC"
"Riley Greene","L",0.26334,"DET"
"Nasim Nunez","B",0.2384181,"WSN"
"Vaughn Grissom","R",0.24486,"BOS"
"Francisco Alvarez","R",0.22599,"NYM"
"Brett Baty","L",0.21567,"NYM"
"Dominic Fletcher","L",0.25443,"CHW"
"Kyle Stowers","L",0.24075,"MIA"
"Andrew Vaughn","R",0.239,"CHW"
"Tyler Fitzgerald","R",0.21,"SFG"
"Darell Hernaiz","R",NA,"ATH"
"Adley Rutschman","B",0.268658,"BAL"
"Gunnar Henderson","L",0.27398,"BAL"
"Bryson Stott","L",0.27169,"PHI"
"Oliver Dunn","L",0.21018,"MIL"
"Josh Jung","R",0.24552,"TEX"
"Michael Busch","L",0.23937,"CHC"
"Spencer Steer","R",0.2499,"CIN"
"Jonny DeLuca","R",0.22795,"TBR"
"JJ Bleday","L",NA,"ATH"
"Kameron Misner","L",0.24158,"TBR"
"Josh Smith","L",0.2346,"TEX"
"Kyren Paris","R",0.2079,"LAA"
"Dominic Canzone","L",0.21294,"SEA"
"Matt Wallner","L",0.206,"MIN"
"Luis Matos","R",0.257,"SFG"
"Davis Wendzel","R",0.2295,"CIN"
"Spencer Horwitz","L",0.26312,"PIT"
"Noelvi Marte","R",0.25296,"CIN"
"Angel Martinez","B",0.2143335,"CLE"
"Luisangel Acuna","R",0.2697,"NYM"
"Jonatan Clase","B",0.222949,"TOR"
"Elly De La Cruz","B",0.253325,"CIN"
"Austin Martin","R",0.21816,"MIN"
"Dillon Dingler","R",0.22442,"DET"
"Spencer Torkelson","R",0.19698,"DET"
"Tyler Soderstrom","L",NA,"ATH"
"Zach DeLoach","L",0.23463,"CHW"
"Jordan Walker","R",0.25544,"STL"
"Patrick Bailey","B",0.245,"SFG"
"Masyn Winn","R",0.23484,"STL"
"Nick Gonzales","R",0.251,"PIT"
"Rece Hinds","R",0.2193,"CIN"
"Justin Foscue","R",0.20097,"TEX"
"Nick Yorke","R",0.246,"PIT"
"HaSeong Kim","R",0.23086,"TBR"
"David Hamilton","L",0.24408,"BOS"
"Edouard Julien","L",0.233,"MIN"
"Duke Ellis","L",0.17572,"NYY"
"Garrett Mitchell","L",0.19623,"MIL"
"Austin Wells","L",0.20516,"NYY"
"Casey Schmitt","R",0.224,"SFG"
"Jacob Hurtubise","L",0.23432,"CIN"
"Alika Williams","R",0.217,"PIT"
"Alec Burleson","L",0.252,"STL"
"Nick Loftin","R",0.26568,"KCR"
"Anthony Volpe","R",0.23424,"NYY"
"Vinnie Pasquantino","L",0.27352,"KCR"
"Michael Massey","L",0.25688,"KCR"
"Joey Wiemer","R",0.20196,"KCR"
"Eric Yang","R",0.2091,"CIN"
"Brett Wisely","L",0.206,"SFG"
"Drew Romo","B",0.2318133,"COL"
"Pete CrowArmstrong","L",0.19392,"CHC"
"Pedro Leon","R",0.196,"HOU"
"Tyler Gentry","R",0.243,"KCR"
"Shay Whitcomb","R",0.204,"HOU"
"Evan Carter","L",0.24072,"TEX"
"Jordan Westburg","R",0.2548,"BAL"
"Matt Mervis","L",0.22256,"MIA"
"Thomas Saggese","R",0.24823,"STL"
"Colt Keith","L",0.24057,"DET"
"Adael Amador","B",0.2387331,"COL"
"Jasson Dominguez","B",0.2211684,"NYY"
"Junior Caminero","R",0.22698,"TBR"
"Javier Sanoja","R",0.24174,"MIA"
"Coby Mayo","R",0.20696,"BAL"
"Jackson Chourio","R",0.25756,"MIL"
"Blake Dunn","R",0.24072,"CIN"
"Jackson Merrill","L",0.25098,"SDP"
"James Wood","L",0.25164,"WSN"
"Bryce Teodosio","R",0.22968,"LAA"
"Ryan Bliss","R",0.1917,"SEA"
"Adrian Del Castillo","L",0.23735,"ARI"
"Billy Cook","R",0.226,"PIT"
"Trey Sweeney","L",0.23958,"DET"
"Ben Rice","L",0.1932,"NYY"
"Colton Cowser","L",0.25029,"BAL"
"Connor Norby","R",0.21114,"MIA"
"JustynHenry Malloy","R",0.20286,"DET"
"Henry Davis","R",0.238,"PIT"
"Sal Frelick","L",0.23529,"MIL"
"Joey Loperfido","L",0.22019,"TOR"
"Will Wagner","L",0.23862,"TOR"
"Matt McLain","R",0.24786,"CIN"
"Hunter Goodman","R",0.24592,"COL"
"Zack Gelof","R",NA,"ATH"
"Niko Kavadas","L",0.20564,"LAA"
"Brett Harris","R",NA,"ATH"
"Kyle Manzardo","L",0.2448,"CLE"
"Darren Baker","L",0.25056,"WSN"
"Jacob Young","R",0.2277,"WSN"
"Tyler Black","L",0.22134,"MIL"
"Jordan Lawlar","R",0.23005,"ARI"
"Christian EncarnacionStrand","R",0.2448,"CIN"
"Seiya Suzuki","R",0.25248,"CHC"
"Oscar Colas","L",0.22473,"CHW"
"Heston Kjerstad","L",0.24514,"BAL"
"Zach Neto","R",0.24552,"LAA"
"Victor Scott II","L",0.22,"STL"
"Graham Pauley","L",0.2354,"MIA"
"Brooks Baldwin","B",0.2224992,"CHW"
"Tyler Locklear","R",0.1899,"SEA"
"Jordan Beck","R",0.25984,"COL"
"Jace Jung","L",0.2277,"DET"
"Wade Meckler","L",0.242,"SFG"
"Zach Dezenzo","R",0.242,"HOU"
"Trey Lipscomb","R",0.23958,"WSN"
"Brooks Lee","B",0.230759,"MIN"
"Nacho Alvarez Jr","R",0.204,"ATL"
"Jackson Holliday","L",0.23381,"BAL"
"Masataka Yoshida","L",0.2712,"BOS"
"Nolan Schanuel","L",0.25123,"LAA"
"Jacob Wilson","R",NA,"ATH"
"Wyatt Langford","R",0.2475,"TEX"
"Dylan Crews","R",0.25344,"WSN"
"Jung Hoo Lee","L",0.265,"SFG"
