"playerid","name","Bats","dist1b","dist2b","dist3b","distHR","distIBB"
5491,"Austin Romine","R",0.718175502559759,0.175482890801437,0,0.109719300051813,0
5497,"Marwin Gonzalez","B",0.670280263820851,0.185036462043593,0.00528338729162294,0.134282609501264,0.02399398660986
5503,"Corban Joseph","L",0.668280414662353,0.273286644961999,0,0.0550348953140578,0
5517,"Kyle Higashioka","R",0.52984383598883,0.227003651099425,0.00304309263846836,0.233849292071622,0
5519,"Ruben Tejada","R",NA,NA,NA,NA,0
5524,"Madison Bumgarner","R",0.717972772999947,0.173530817009078,0,0.0917132216014898,0
5557,"Jarrod Saltalamacchia","B",NA,NA,NA,NA,0
5631,"Matt Kemp","R",0.694683356063953,0.153905070590198,0,0.153884140952224,0.0374814814814815
5666,"Devin Mesoraco","R",0.607220744857259,0.200364560019757,0,0.18648623309755,0.114314516129032
5667,"Steven Souza Jr","R",0.564085275761798,0.242508108750268,0.0732583454281567,0.132416274867082,0
5677,"AJ Ellis","R",0.780487804878048,0.194136486819414,0,0.0241451158230175,0.0394230769230769
5702,"Junior Guerra","R",0.628231699216152,0.380829015544042,0,0,0
5751,"Hernan Perez","R",0.84468989977277,0.0890278088756717,0.00567129629629629,0.0626555687767301,0.0139705882352941
5760,"Avisail Garcia","R",0.678263168454603,0.152697697990984,0.0143975370808671,0.157795034415096,0.0796902740722774
5827,"Wilmer Flores","R",0.620134223385554,0.216160730475205,0.00436469764962354,0.16227429184929,0.0279511136573367
5913,"Leury Garcia","B",0.759343925111114,0.140803094261628,0.0233197030876812,0.0738542728893188,0
5930,"Nick Markakis","L",0.623201346352985,0.298329119024431,0.0104706847793377,0.065686874531656,0.0554531126871553
5933,"Jean Segura","R",0.74835727678159,0.146622751641011,0.0207720449962212,0.0829777323657672,0.0571847935880544
5942,"Jesus Sucre","R",0.83802993964979,0.147021310847446,0,0.0140926085706069,0.108888888888889
6012,"Didi Gregorius","L",0.624325115157317,0.191467821078019,0.0392940492188572,0.144487464622132,0.0728133823529412
6013,"Cristhian Adames","B",0.821833511341854,0.146333169607436,0,0,0
6050,"Moises Sierra","R",0.797319932998325,0.211838006230529,0,0,0
