"Season","playerid","name","Bats","Age","G","AB","PA","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","IFH","BU","BUH","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB_pct","K_pct","BB_K","ISO","BABIP","Spd","BaseRunning","wRAA","wRC","wRC_plus","Dollars","WAR","RE24","Clutch","o_swing_pct","z_swing_pct","swing_pct","o_contact_pct","z_contact_pct","contact_pct","zone_pct","f_strike_pct","SwStr_pct","CStr_pct","pull_pct","cent_pct","oppo_pct","soft_pct","med_pct","hard_pct","avg_ev","avg_la","barrels","barrel_pct","maxEV","HardHit_pct"
2024,5297,"Aaron Hicks","B",34,18,57,63,8.1358690125089,7.10659898477157,0,0,0.963066403428516,6.000600060006,5,5.81592594387631,0,22.8106714271546,0,0,0,1,0,0,0,0,0.142734544079103,0.222106014465991,0.192260782429573,0.414366796895564,0.195005951482307,9.25868059172227,36.3135161734862,0.25496513605263,0.0495262383504691,0.215877505947166,1.92170329,0.161846674978733,-5.78284984760763,1.58676866508243,19.9825896489808,-4.1308596957099,-0.516357461963737,-5.68210029602051,0.10530685661443,0.28143713,0.65811966,0.43661972,0.57446809,0.77922078,0.7016129,0.41197183,0.6031746,0.13028169,0.19366197,0.52941176,0.29411765,0.17647059,0.23529412,0.41176471,0.35294118,87.4670262192235,4.67194112141927,2,0.05882353,105.014,0.35294118
2024,15640,"Aaron Judge","R",32,158,559,704,181.818181818182,87.6288659793814,37.696335078534,1.14942528735632,50.6550218340611,117.307692307692,144,123.148148148148,20,168.472906403941,9,2,0,10,0,0,10,0,0.325256139209628,0.452957034950089,0.660268156233923,1.11322519118401,0.457223747654662,17.7664974619289,24.3054687304644,0.7309670781893,0.335012017024295,0.383661523762704,3.92011002149635,-0.437979139387608,93.8070330089052,176.159595436426,218.425379756783,89.6850368968051,11.2106296121006,96.7620010375977,-2.77494638195331,0.21256606,0.71912014,0.42010399,0.48895028,0.80705882,0.7120462,0.40970537,0.51846591,0.12088673,0.1461725,0.4,0.34871795,0.25128205,0.07179487,0.45128205,0.47692308,96.2286913560411,18.8879513777314,105,0.2685422,117.516,0.60869565
2024,25524,"Aaron Schunk","R",26,39,94,98,20.4651162790698,15.668202764977,2.88461538461538,0,1.93236714975845,12.7853881278539,7,4.12371134020619,1,32.2916666666667,0,0,0,2,1,0,0,1,0.217714002968827,0.250590069244565,0.310286192906825,0.56087626215139,0.242476857365264,4.2025635637739,32.9091370736149,0.127702028599933,0.0925721899379976,0.310036797605184,3.27934960291991,-0.646890200674534,-4.20267153770379,7.26117948203631,49.4709878277935,0.199376230376255,0.0249220287970319,-7.08500003814697,-0.0210667838815992,0.45045045,0.75167785,0.57142857,0.62,0.83035714,0.73113208,0.40161725,0.67346939,0.15363881,0.1212938,0.41269841,0.31746032,0.26984127,0.14285714,0.55555556,0.3015873,85.5198994620902,11.7460857453893,3,0.04761905,108.826,0.31746032
2024,19844,"Abraham Toro","B",27,94,337,364,81.8223142582959,57.3902537253322,16.289766193944,1.01791530944625,6.71779656272743,35.0551603258068,26,19.7726149283243,1,62.3115577889447,5,0,2,7,2,0,4,2,0.242796184742718,0.294646208109862,0.355770677425723,0.650416885535586,0.285414874392926,5.43543249736381,17.1292602114159,0.317318578285204,0.112974492683006,0.280271436126374,3.55400057575597,0.598980911076069,-7.96091087218938,34.619107201131,86.8329853286435,5.90541030936975,0.738176288671219,-7.25629997253418,0.723014364936595,0.34814815,0.65753425,0.47776184,0.72695035,0.94010417,0.84984985,0.41893831,0.57142857,0.07168459,0.17777778,0.40794224,0.36462094,0.22743682,0.1732852,0.57761733,0.24909747,87.1798508522727,12.2380557528409,12,0.0433213,109.887,0.29241877
2024,27962,"Adael Amador","B",21,10,35,36,5.59884290579947,4.63692849856255,0.946297610598533,0,0,0.896780557797507,0,0.964320154291225,0,6.25,0,0,0,1,0,0,1,0,0.159966940165699,0.182490953031614,0.18655782056456,0.369048773596175,0.165187182747858,2.68132457433972,17.3783348974393,0.154291224686596,0.0265908803988614,0.194742361940851,3.88081632084824,-0.802436172962189,-3.87485212193155,0.336358456748491,-4.67683781676049,-3.20742689122087,-0.400928361402609,-4.1399998664856,0.0653367518788626,0.50746269,0.73076923,0.60504202,0.67647059,0.89473684,0.79166667,0.43697479,0.72222222,0.12605042,0.12605042,0.48275862,0.31034483,0.20689655,0.03448276,0.62068966,0.34482759,88.2126726422991,17.1448364257812,2,0.06896552,103.638,0.31034483
2024,10950,"Adam Duvall","R",35,104,303,330,54.1871921182266,33.0097087378641,9.75609756097561,0,11.7021276595745,29,30,20.6896551724138,0,96.5853658536585,5,1,0,17,0,0,0,0,0.178835617551903,0.242278900892017,0.327823150158789,0.570102051050806,0.25233804658103,6.27549419516787,29.295843633052,0.214211076280042,0.148987532606886,0.217078945138975,1.248626365,-0.275492712855339,-15.4678362202778,23.1349274176225,58.0482844977562,-8.1357820158274,-1.01697275197842,-18.3329010009766,-0.327691484026335,0.36906377,0.66407767,0.49041534,0.59558824,0.8625731,0.74429967,0.41134185,0.63939394,0.12519936,0.18181818,0.52195122,0.30243902,0.17560976,0.22439024,0.43414634,0.34146341,86.8735613567073,22.17744140625,22,0.10731707,112.96,0.36585366
2024,15223,"Adam Frazier","L",32,104,262,294,51.4563106796117,36.8932038834951,8.8495575221239,0.677966101694915,4.76190476190476,34.3137254901961,22,22.680412371134,0,61.7801047120419,7,0,3,5,5,1,3,0,0.19639813236493,0.278169940830676,0.288831436184911,0.567001377015588,0.257623833340184,7.69661349006437,20.9651208965437,0.367115149397169,0.0924333038199812,0.238897400879003,5.1283631894731,0.203773684799671,-11.564784759989,22.8267682992313,63.1299851916867,-4.67044095641521,-0.583805119551902,-7.39620018005371,0.338091158291567,0.3045388,0.68181818,0.46903386,0.67307692,0.90555556,0.82042254,0.4360033,0.61564626,0.08422791,0.18827415,0.40291262,0.33009709,0.26699029,0.18932039,0.57281553,0.23786408,84.4983286691542,15.31786866449,6,0.02912621,106.297,0.22815534
2024,24598,"Addison Barger","L",24,69,208,225,41.6243654822335,24.5989304812834,9.52380952380952,0,7.10659898477157,20.4081632653061,28,14.2857142857143,0,59.4059405940594,1,1,0,1,0,0,2,0,0.200117141741507,0.253739209156455,0.346504545519177,0.600243754675632,0.262034071479564,6.36942675159236,26.4867251056316,0.240476190476191,0.14638740377767,0.242251257727755,3.27642698595477,0.542603209614754,-8.63958310982859,17.6804830069217,69.7663038482486,-2.42390956854533,-0.302988696068166,-4.59399890899658,-0.140611755785418,0.35416667,0.59366755,0.45983702,0.63529412,0.85777778,0.76202532,0.44121071,0.64,0.10930233,0.20465116,0.38255034,0.33557047,0.28187919,0.2147651,0.4295302,0.3557047,88.2737895939626,12.1303489736263,12,0.08,110.706,0.38
2024,26288,"Adley Rutschman","B",26,148,571,638,140.900581338063,99.8433829287392,21.8091182885035,0.866588673686035,18.2027208277448,67.1074706404816,79,60.5080590475197,3,104.398945874721,2,7,0,7,0,0,1,0,0.246761088157728,0.317573897021788,0.383313955933071,0.700887852954859,0.306140450585523,9.44688488970762,16.2993961434255,0.579584961711485,0.136552867775343,0.269429753117154,2.07128605857148,-2.91239499300718,-0.655620100178981,73.9763895997617,103.703122754469,22.7852560397232,2.8481570049654,13.4263000488281,0.0752686025552345,0.3239813,0.61004566,0.44483025,0.77731959,0.89670659,0.84648742,0.4224537,0.59561129,0.06823439,0.20547417,0.42105263,0.35789474,0.22105263,0.15578947,0.55789474,0.28631579,88.1675493421053,18.7731393914474,29,0.06105263,109.323,0.36421053
2024,19287,"Adolis García","R",31,154,580,637,134.715025906736,80.8290155440414,28.7234042553191,0,24.8756218905473,72.3404255319149,85,44.3349753694581,2,170.192307692308,6,6,0,11,0,0,11,5,0.232267286046096,0.290805956672039,0.409962606235981,0.70076856290802,0.302354703742271,6.9672384963151,26.7457100866558,0.260499290306421,0.177695320189885,0.280968005257241,3.48165282854593,-0.681166894733906,-7.36842634849957,67.1466052798111,91.8848509081552,-1.92632220046346,-0.240790275057933,-14.3449993133545,-0.0918698832689495,0.37091608,0.75950668,0.52012628,0.5388601,0.78755074,0.67830046,0.3839779,0.64521193,0.16732439,0.12667719,0.39853301,0.31784841,0.28361858,0.17114914,0.46454768,0.36430318,91.0169878685504,14.9711698115018,50,0.12224939,116.077,0.4792176
