"PlayerName","playerid","K/9","HR/9","BB/9","AVG","ERA","SO","BB","HR","ER","HLD","H","R","IBB","HBP"
"Raul Alcantara","sa3005696",7.2009,1.057,4.6206,0.260113,4.49145,0.8001,0.5134,0.117444,0.49905,0,1.0134,0.5415,0.0207,0.0566
"Raul Brito","sa928287",7.966545,1.180455,4.140275,0.2479655,4.54792,21.42865,11.2209,3.0659445,12.244455,0,22.48625,13.2635,0.01105,2.0266
"Raul Rangel","sa3015212",4.6881,1.535,5.4981,0.289208,6.24564,0.5209,0.6109,0.170556,0.69396,0,1.1732,0.7373,0.0096,0.0495
"Ray Gaither","sa3017270",7.32771,1.238295,4.331395,0.2566275,4.72474,21.9031,13.2327,3.5706665,13.766845,0,26.51065,14.78645,0.51005,1.0205
"Ray Kerr","23809",10.1725627272727,1.129335,3.82194272727273,0.235503090909091,4.15811545454545,19.8859917688667,7.32305567531515,2.20179850077879,7.96219622975555,0.15403325,13.9423925,7.1690175,0.35662375,0.7677775
"Raymon Rosario","sa3022801",4.3551,1.429,7.0335,0.291211,6.58413,0.4839,0.7815,0.158778,0.73157,0,1.1769,0.7772,0.0033,0.0551
"Raymond Burgos","22370",7.12415083333333,0.875409305555556,3.28930666666667,0.250829166666667,4.12775555555556,17.3145725066667,7.97695034222222,2.01091366728395,10.4391324654321,0,22.00185,11.24315,0.01245,1.0231
"Raynel Espinal","19516",8.2809,1.211,3.2175,0.248475,4.22316,0.9201,0.3575,0.134556,0.46924,0,0.9656,0.5039,0.0246,0.0504
"Rayner Castillo","sa3015487",4.5972,1.332,4.5864,0.286035,5.64921,0.5108,0.5096,0.148,0.62769,0,1.1587,0.6726,0.0031,0.0495
"Rayner Urbaez","sa3018880",5.5422,1.482,7.6734,0.279077,6.60915,0.6158,0.8526,0.164667,0.73435,0,1.1136,0.7772,0.0283,0.0541
"Rayven Antonio","sa3021808",4.7943,1.451,5.3676,0.292379,6.15528,0.5327,0.5964,0.161222,0.68392,0,1.1882,0.7283,0.0101,0.0477
"Reagan Todd","sa3006946",8.61027,1.08846,4.200285,0.247278,4.39595,16.4674,8.22205,2.059778,8.7285,0,16.4755,9.2471,0.51255,1.0229
"Redinson Gomez","sa3016612",4.9932,1.496,7.5069,0.283709,6.669,0.5548,0.8341,0.166222,0.741,0,1.1379,0.7846,0.0283,0.0521
"Reed Garrett","16866",10.6520211764706,0.945549,4.07450411764706,0.216584352941176,3.45733764705882,75.7044534098824,28.9744895082745,6.68135970193426,24.5438653646874,14.6947142857143,54.1371,28.6909571428571,0,2.26069285714286
"Reese Olson","24968",8.26335176470588,0.913479294117647,3.00303852941176,0.240321117647059,3.97262352941176,122.619178883137,44.4216728441176,13.6548638682353,58.9506699286275,0.0111336857142857,122.938857142857,62.5554285714286,0,5.04227857142857
"Reese Sharp","sa3020561",6.7464,1.569,6.525,0.267294,6.04197,0.7496,0.725,0.174333,0.67133,0,1.0587,0.7101,0.0273,0.0492
"Reggie Crawford","sa3020457",9.652265,1.13569,4.319735,0.2313695,4.425725,16.52075,7.72135,2.057222,8.215885,0,12.94675,8.7337,0.0097,3.0264
"Reggie Lawson","sa917951",7.39993,1.303355,5.53847,0.2518055,5.42694,11.9115,9.7761,2.073389,9.281565,0,14.00565,9.8005,0.01305,1.0247
"Reggie McClain","19311",7.263,1.292,4.293,0.26067,4.91004,0.807,0.477,0.143556,0.54556,0,1.0248,0.5834,0.0256,0.0596
"Regi Grace","sa3008101",7.038995,1.323815,4.147105,0.2607795,5.065645,19.8817,11.72465,3.575222,14.275375,0,25.51795,15.29415,0.0129,3.03115
"Reibyn Corona","sa3009521",6.057,1.375,5.5602,0.277048,5.74785,0.673,0.6178,0.152778,0.63865,0,1.1065,0.6801,0.027,0.0543
"Reid Birlingmair","sa3007473",7.358665,1.390335,4.55028,0.2595545,5.34922,21.4161,14.2379,4.078,16.77887,0,27.51485,18.2972,0.01295,2.5265
"Reid Detmers","27468",10.0401517647059,1.24484,3.18704205882353,0.232426176470588,4.08899764705882,133.231481266897,42.3498137009227,16.5971486013072,54.3362357850058,0.876248571428571,108.051,60.4914142857143,0,5.94344714285714
"Reid Johnston","sa3018183",5.9436,1.481,4.0068,0.276184,5.43078,0.6604,0.4452,0.164556,0.60342,0,1.1099,0.6442,0.0053,0.0561
