"name","playerid","new_TBF","TBF","Source","TBF_adj_rate"
"Diego Hernandez","sa3019385",5.097,NA,NA,NA
"Diego Navarro","sa3016591",4.981,NA,NA,NA
"Diego Palmero","sa3021573",4.987,NA,NA,NA
"Dielmon Urena","sa3016485",5.255,NA,NA,NA
"Dietrich Enns","13932",65.71425,NA,NA,NA
"Dikember Sanchez","sa3016033",4.61,NA,NA,NA
"Dilan Figueredo","sa3019555",4.826,NA,NA,NA
"Dillon Larsen","sa3018263",4.619,NA,NA,NA
"Dillon Maples","14672",4.478,NA,NA,NA
"Dillon Overton","15627",4.442,NA,NA,NA
"Dillon Peters","18790",4.322,NA,NA,NA
"Dillon Tate","17796",162.048882352941,174.025,"REZ1",0.931181625358087
"Dinelson Lamet","17186",156.544583333333,93.46,"REZ1",1.67499019188245
"Diogenes Almengo","sa835215",4.413,NA,NA,NA
"Diomede Sierra","sa3009586",4.706,NA,NA,NA
"Dioni Baez","sa3018309",5.033,NA,NA,NA
"Dionys Rodriguez","sa3005877",4.596,NA,NA,NA
"Dioris De La Rosa","sa3024240",4.839,NA,NA,NA
"Diorys Guerrero","sa3009503",4.808,NA,NA,NA
"Diosmerky Taveras","sa3004872",4.405,NA,NA,NA
"Diovel Mariano","sa3018363",5.038,NA,NA,NA
"Doimil Perez","sa3017104",4.948,NA,NA,NA
"Dom Hamel","sa3017949",251.7145,NA,NA,NA
"Domingo Acevedo","17092",30.4368571428571,95.799,"REZ1",0.31771581272098
"Domingo German","17149",167.910272727273,170.701,"REZ1",0.983651371270659
"Domingo Geronimo","sa3018851",5.005,NA,NA,NA
"Domingo Gonzalez","sa3007495",194.744285714286,NA,NA,NA
"Domingo Robles","sa872881",194.66,NA,NA,NA
"Domingo Tapia","12178",40.2251428571429,129.833,"REZ1",0.309822178160736
"Dominic Hambley","sa3017999",4.869,NA,NA,NA
"Dominic Leone","13763",111.577327272727,194.822,"REZ1",0.572714207187727
"Dominic Perachi","sa3020841",219.2265,NA,NA,NA
"Dominic Pipkin","sa3007896",4.462,NA,NA,NA
"Donal Montas","sa3019394",4.963,NA,NA,NA
"Donny Troconis","sa3020992",4.831,NA,NA,NA
"Donovan Benoit","sa3017464",113.7585,NA,NA,NA
"Donovan Walton","19314",44,NA,NA,NA
"Donye Evans","sa3023037",4.716,NA,NA,NA
"Donys Garcia","sa3015941",4.993,NA,NA,NA
"Doug Kirkland","sa3023095",4.798,NA,NA,NA
"Doug Nikhazy","sa3018110",166.217571428571,NA,NA,NA
"Douglas Orellana","sa3016817",4.546,NA,NA,NA
"Drake Fellows","sa3015208",149.248,NA,NA,NA
"Drew Anderson","15130",217.2,NA,NA,NA
"Drew Carlton","19868",39.095,126.145,"REZ1",0.309921122517737
"Drew Conover","sa3023279",4.63,NA,NA,NA
"Drew Dowd","sa3023509",4.643,NA,NA,NA
"Drew Garrett","sa3022322",4.897,NA,NA,NA
