"name","playerid","new_TBF","TBF","Source","TBF_adj_rate"
"AJ Alexy","22343",129.786,NA,NA,NA
"AJ Block","sa3014916",4.42,NA,NA,NA
"AJ Blubaugh","sa3020112",114.704233333333,NA,NA,NA
"AJ Candelario","sa3018176",4.6,NA,NA,NA
"AJ Labas","sa3017638",4.56,NA,NA,NA
"AJ Ladwig","16266",4.312,NA,NA,NA
"AJ Minter","18655",214.637176470588,157.42,"REZ1",1.36346827893907
"AJ Puckett","sa738686",4.369,NA,NA,NA
"AJ Puk","19343",280.265294117647,317.928,"REZ1",0.881536996167834
"AJ SmithShawver","29960",317.093235294118,278.801,"REZ1",1.13734611889526
"Aaron Ashby","23550",309.747705882353,215.547,"REZ1",1.43703093006329
"Aaron Barrett","11243",4.394,NA,NA,NA
"Aaron Brooks","12272",175.852,259.187,"REZ1",0.678475386497008
"Aaron Brown","sa3017500",214.674,NA,NA,NA
"Aaron Brown","sa598306",4.391,NA,NA,NA
"Aaron Bummer","16258",265.208882352941,272.459,"REZ1",0.973390059983121
"Aaron Civale","19479",600.722882352941,523.311,"REZ1",1.14792710711783
"Aaron Cohn","sa3017210",4.728,NA,NA,NA
"Aaron Davenport","sa3017615",256.2465,NA,NA,NA
"Aaron Fletcher","22052",4.496,NA,NA,NA
"Aaron Haase","sa3017849",4.539,NA,NA,NA
"Aaron Hernandez","sa3008599",82.7155,NA,NA,NA
"Aaron Holiday","sa3017937",4.726,NA,NA,NA
"Aaron Leasher","sa3004701",4.418,NA,NA,NA
"Aaron Loup","10343",63.491,211.476,"REZ1",0.300227921844559
"Aaron McGarity","sa873280",124.173,NA,NA,NA
"Aaron Munson","sa3023257",4.61,NA,NA,NA
"Aaron Nixon","sa3023376",4.822,NA,NA,NA
"Aaron Nola","16149",758.675882352941,701.6,"REZ1",1.08135102957945
"Aaron Northcraft","10218",4.545,NA,NA,NA
"Aaron Ochsenbein","sa3011241",4.401,NA,NA,NA
"Aaron Perry","sa1055363",4.375,NA,NA,NA
"Aaron Pinto","sa3006823",4.373,NA,NA,NA
"Aaron Rozek","sa3015224",210.185,NA,NA,NA
"Aaron Rund","sa3023369",4.579,NA,NA,NA
"Aaron Sanchez","11490",155.737,NA,NA,NA
"Aaron Shortridge","sa3006759",180.2145,NA,NA,NA
"Aaron Slegers","15231",4.38,NA,NA,NA
"Aaron Wilkerson","16904",4.286,NA,NA,NA
"Abdiel Medina","sa3009206",4.958,NA,NA,NA
"Abdiel Mendoza","sa916829",164.22,NA,NA,NA
"Abel Adames","sa917912",4.605,NA,NA,NA
"Abel Brito","sa3015458",4.854,NA,NA,NA
"Abel Fuerte","sa3021475",5.089,NA,NA,NA
"Abel Mendez","sa3018902",5.107,NA,NA,NA
"Abel Mercedes","sa3017013",4.84,NA,NA,NA
"Abner Uribe","25327",187.435117647059,132.217,"REZ1",1.4176325105475
"Abraham Gaitan","sa3020492",4.972,NA,NA,NA
"Abraham Parra","sa3022369",4.89,NA,NA,NA
"Abrahan Tejada","sa3019146",5.028,NA,NA,NA
"Accimias Morales","sa3018809",4.821,NA,NA,NA
"Adam Boucher","sa3023128",4.572,NA,NA,NA
"Adam Cimber","15288",131.269529411765,166.567,"REZ1",0.788088453365701
"Adam Conley","14457",4.259,NA,NA,NA
"Adam Kloffenstein","24493",221.403166666667,250.189,"REZ1",0.88494364926782
"Adam Kolarek","10843",101.25525,128.939,"REZ1",0.785295760010548
"Adam Laskey","sa3014851",138.6945,NA,NA,NA
"Adam Leverett","sa1169991",180.212,NA,NA,NA
"Adam Macko","sa3011555",92.5328857142857,NA,NA,NA
"Adam Maier","sa3020883",4.509,NA,NA,NA
"Adam Mazur","31900",216.040058823529,290.183,"REZ1",0.74449591748493
"Adam McKillican","sa3017687",4.492,NA,NA,NA
"Adam Morgan","12580",4.325,NA,NA,NA
"Adam Oller","20132",213.388363636364,331.998,"REZ1",0.642739906976439
"Adam Ottavino","1247",195.221823529412,211.445,"REZ1",0.923274721697897
"Adam Plutko","15846",142.156,NA,NA,NA
"Adam Scoggins","sa3017845",4.713,NA,NA,NA
"Adam Scott","sa3006826",4.478,NA,NA,NA
"Adam Seminaris","sa3015010",159.6495,NA,NA,NA
"Adam Serwinowski","sa3020626",4.675,NA,NA,NA
"Adam Shoemaker","sa3017888",4.789,NA,NA,NA
"Adam Smith","sa3017147",4.658,NA,NA,NA
"Adam Stauffer","sa3005146",4.382,NA,NA,NA
"Adam Stone","sa3020944",4.829,NA,NA,NA
"Adam Tulloch","sa3020588",4.598,NA,NA,NA
"Adam Wainwright","2233",157.022571428571,538.614,"REZ1",0.291530802074531
"Adam Wolf","sa3007587",142.7065,NA,NA,NA
"Adan Moreno","sa3021537",4.751,NA,NA,NA
"Adbert Alzolay","17859",131.82525,163.014,"REZ1",0.808674408333027
"Adel Dilone","sa3018798",4.646,NA,NA,NA
"Adenys Bautista","sa3007905",4.76,NA,NA,NA
"Adilson Peralta","sa3018816",4.948,NA,NA,NA
"Adisyn Coffey","sa3014738",102.7025,NA,NA,NA
"Adolfo Oviedo","sa3018882",4.85,NA,NA,NA
"Adolfo Ramirez","sa3003015",4.464,NA,NA,NA
"Adonis Medina","19903",128.6515,NA,NA,NA
"Adonis Villavicencio","sa3019070",4.764,NA,NA,NA
"Adonys Perez","sa3020114",4.492,NA,NA,NA
"Adrian Acosta","sa3018883",4.947,NA,NA,NA
"Adrian Alcantara","sa974592",4.41,NA,NA,NA
"Adrian Bohorquez","sa3021501",4.706,NA,NA,NA
"Adrian Chaidez","sa3017417",4.49,NA,NA,NA
"Adrian De Horta","sa737857",4.396,NA,NA,NA
"Adrian Del Moral","sa3006816",4.831,NA,NA,NA
"Adrian Delgado","sa3019379",5.219,NA,NA,NA
"Adrian Florencio","sa3010569",4.594,NA,NA,NA
"Adrian Heredia","sa3024791",4.817,NA,NA,NA
"Adrian Hernandez","sa3006177",112.737,NA,NA,NA
"Adrian Herrera","sa3023627",4.733,NA,NA,NA
"Adrian Houser","12718",221.828090909091,319.501,"REZ1",0.694295451059906
"Adrian Martinez","21023",192.559083333333,197.052,"REZ1",0.977199334862541
"Adrian Martinez","sa3016049",4.938,NA,NA,NA
"Adrian Morejon","20039",258.477,241.071,"REZ1",1.07220279502719
"Adrian Ogando","sa3017617",5.005,NA,NA,NA
"Adrian Quintana","sa3016465",4.568,NA,NA,NA
"Adrian Rodriguez","sa3015385",4.794,NA,NA,NA
"Adrian Sampson","13339",246.191,NA,NA,NA
"Adrian Santana","sa3018876",5.067,NA,NA,NA
"Aidan Anderson","sa3011250",130.681,NA,NA,NA
"Aidan Curry","sa3015334",4.583,NA,NA,NA
"Aidan Maldonado","sa3020829",4.585,NA,NA,NA
"Al Pesto","sa3021977",4.325,NA,NA,NA
"Alain Pena","sa3019050",4.542,NA,NA,NA
"Alan Busenitz","15239",116.836333333333,85.163,"REZ1",1.37191425071138
"Alan Carter","sa3020817",4.386,NA,NA,NA
"Alan Mundo","sa3005688",4.636,NA,NA,NA
"Alan Perdomo","sa3006399",4.692,NA,NA,NA
"Alan Rangel","sa877578",161.378442857143,NA,NA,NA
"Alan Strong","sa3006768",4.357,NA,NA,NA
"Alaska Abney","sa3017308",107.235,NA,NA,NA
"Albert Abreu","17485",60.3012133333333,122.015,"REZ1",0.494211476731003
"Albert Breton","sa3009995",5.058,NA,NA,NA
"Albert Polanco","sa3019660",4.854,NA,NA,NA
"Albert Rivas","sa3018286",4.684,NA,NA,NA
"Albert Suarez","6175",369.121823529412,406.289,"REZ1",0.908520347657485
"Alberto Baldonado","11812",4.333,NA,NA,NA
"Alberto Guerrero","sa872514",4.361,NA,NA,NA
"Alberto Mota","sa3016712",4.696,NA,NA,NA
"Alberto Pacheco","sa3015421",4.622,NA,NA,NA
"Albertus Barber","sa1172728",4.386,NA,NA,NA
"Aldrin Batista","sa3019119",4.521,NA,NA,NA
"Aldry Acosta","sa3002794",4.435,NA,NA,NA
"Alec Baker","sa3022794",4.408,NA,NA,NA
"Alec Barger","sa3010566",104.244,NA,NA,NA
"Alec Bettinger","20312",4.465,NA,NA,NA
"Alec Gamboa","sa3011249",150.241,NA,NA,NA
"Alec Kisena","sa875686",4.376,NA,NA,NA
"Alec Marsh","27451",479.336176470588,520.585,"REZ1",0.920764479327273
"Alec Mills","13834",37.9442857142857,121.92,"REZ1",0.311222815898013
"Alejandro Gomez","sa3017618",4.742,NA,NA,NA
"Alejandro Hidalgo","sa3015151",4.697,NA,NA,NA
"Alejandro Lugo","sa3009253",4.714,NA,NA,NA
"Alejandro Manzano","sa3019125",4.587,NA,NA,NA
"Alejandro Mateo","sa918495",4.372,NA,NA,NA
"Alejandro Melean","sa3006815",123.2085,NA,NA,NA
"Alejandro Mendez","sa3011785",4.892,NA,NA,NA
"Alejandro Ramirez","sa3021042",5.097,NA,NA,NA
"Alejandro Rosario","sa3023538",4.345,NA,NA,NA
"Alejandro Torres","sa3023265",109.198,NA,NA,NA
"Alek Jacob","29628",202.587529411765,225.762,"REZ1",0.897349994293835
"Alek Manoah","26410",160.908129411765,331.504,"REZ1",0.485388198669593
"Alemao Hernandez","sa3002788",4.321,NA,NA,NA
"Alessandro Ercolani","sa3016714",4.531,NA,NA,NA
"Alex Amalfi","sa3020489",4.556,NA,NA,NA
"Alex Ayala Jr","sa3017141",4.65,NA,NA,NA
"Alex Bustamante","sa3020631",4.787,NA,NA,NA
"Alex Claudio","12890",4.388,NA,NA,NA
"Alex Clemmey","sa3023421",4.638,NA,NA,NA
"Alex Cobb","6562",390.098823529412,341,"REZ1",1.14398481973435
"Alex Colome","6661",97.5035714285714,330.205,"REZ1",0.295281935248017
"Alex Cook","sa3020879",4.517,NA,NA,NA
"Alex Cornwell","sa3017501",106.4288,NA,NA,NA
"Alex Faedo","19874",250.982294117647,257.085,"REZ1",0.976261913832573
"Alex Garbrick","sa3017465",4.638,NA,NA,NA
"Alex Hoppe","sa3020836",140.225,NA,NA,NA
"Alex Lange","19883",179.480470588235,229.01,"REZ1",0.7837232897613
"Alex Makarewich","sa3023642",4.779,NA,NA,NA
"Alex Martinez","sa3015284",4.649,NA,NA,NA
"Alex Mauricio","sa3004337",96.72,NA,NA,NA
"Alex McFarlane","sa3020633",4.621,NA,NA,NA
"Alex McKenney","sa3017209",4.826,NA,NA,NA
"Alex Nolan","sa3010267",4.613,NA,NA,NA
"Alex Pham","sa3017550",220.2035,NA,NA,NA
"Alex Phillips","sa3008595",4.357,NA,NA,NA
"Alex Powers","sa621533",4.335,NA,NA,NA
"Alex Rao","sa3020595",4.693,NA,NA,NA
"Alex Reyes","15015",4.335,NA,NA,NA
"Alex Santos II","sa3014684",111.261,NA,NA,NA
"Alex Scherff","sa3005397",4.442,NA,NA,NA
"Alex Segal","sa919036",4.425,NA,NA,NA
"Alex Speas","21859",96.6798117647059,153.559,"REZ1",0.629593913510155
"Alex Troop","sa915638",164.684,NA,NA,NA
"Alex Valdez","sa3005432",4.701,NA,NA,NA
"Alex Valverde","sa3005207",4.433,NA,NA,NA
"Alex Vesia","25007",251.642176470588,261.141,"REZ1",0.963625690606179
"Alex Wells","19845",4.374,NA,NA,NA
"Alex Williams","sa3020314",4.376,NA,NA,NA
"Alex Wood","13781",299.267,364.667,"REZ1",0.820658299215449
"Alex Young","18333",114.132729411765,139.119,"REZ1",0.820396418977744
"Alexander Agramonte","sa3021034",4.925,NA,NA,NA
"Alexander Alberto","sa3015986",4.751,NA,NA,NA
"Alexander Beltre","sa3015444",4.988,NA,NA,NA
"Alexander Campos","sa3022221",4.775,NA,NA,NA
"Alexander Cornielle","sa3011779",4.546,NA,NA,NA
"Alexander De Los Santos","sa3023083",4.915,NA,NA,NA
"Alexander Fuentes","sa3024072",4.843,NA,NA,NA
"Alexander Johnson","sa3015278",4.983,NA,NA,NA
"Alexander Vallecillo","sa3016034",4.663,NA,NA,NA
"Alexis Cedano","sa3006641",4.748,NA,NA,NA
"Alexis De La Cruz","sa3022007",5.019,NA,NA,NA
"Alexis Diaz","21132",258.444058823529,156.239,"REZ1",1.65415842922401
"Alexis Liebano","sa3019885",4.748,NA,NA,NA
"Alexis Paulino","sa3019128",5.061,NA,NA,NA
"Alexis Torres","sa3019375",4.995,NA,NA,NA
"Alexuan Vega","sa3008334",4.71,NA,NA,NA
"Alfonso Perez","sa3019659",4.888,NA,NA,NA
"Alfred Morillo","sa3018870",4.647,NA,NA,NA
"Alfred Vega","sa3006495",4.606,NA,NA,NA
"Alfredi Jimenez","sa3006479",4.519,NA,NA,NA
"Alfredo Romero","sa3018345",4.698,NA,NA,NA
"Alfredo Ruiz","sa3017506",4.617,NA,NA,NA
"Alfredo Zarraga","sa3018276",125.211,NA,NA,NA
"Ali Ascanio","sa3018306",5.105,NA,NA,NA
"Alimber Santa","sa3015478",132.7585,NA,NA,NA
"Alison Zacarias","sa3022388",4.904,NA,NA,NA
"Alix Hernandez","sa3021479",4.726,NA,NA,NA
"Allan Hernandez","sa3011399",4.651,NA,NA,NA
"Allan Saathoff","sa3020711",4.466,NA,NA,NA
"Allan Winans","21238",148.717218181818,108.751,"REZ1",1.36750207521603
"Allen Facundo","sa3016071",4.633,NA,NA,NA
"Alonzo Richardson","sa3015333",4.632,NA,NA,NA
"Alonzo Tredwell","sa3023524",4.646,NA,NA,NA
"Alvaro Benua","sa3018032",5.097,NA,NA,NA
"Alvaro Gamez","sa3018854",4.982,NA,NA,NA
"Alvaro Pineda","sa3019503",4.844,NA,NA,NA
"Alvin Nova","sa3022153",4.701,NA,NA,NA
"Amauri Otero","sa3019075",5,NA,NA,NA
"Amilcar Chirinos","sa3017149",4.632,NA,NA,NA
"Amir Garrett","14375",132.770654545455,239.334,"REZ1",0.554750493224759
"Amos Willingham","26128",173.600188235294,166.958,"REZ1",1.03978358770046
"Anders Tolhurst","sa3019818",115.158,NA,NA,NA
"Anderson Amarista","sa917061",4.537,NA,NA,NA
"Anderson Beltre","sa3022002",4.861,NA,NA,NA
"Anderson Bido","sa3004204",91.665,NA,NA,NA
"Anderson Brito","sa3024232",4.613,NA,NA,NA
"Anderson Cardenas","sa3020991",4.894,NA,NA,NA
"Anderson Espinoza","18593",4.357,NA,NA,NA
"Anderson Guevara","sa3019182",4.955,NA,NA,NA
"Anderson Jerez","sa3021778",5.096,NA,NA,NA
"Anderson Munoz","sa3007840",4.386,NA,NA,NA
"Anderson Paulino","sa3007991",130.7125,NA,NA,NA
"Anderson Pilar","sa917899",200.214571428571,NA,NA,NA
"Anderson Severino","20582",4.456,NA,NA,NA
"Andinson Ferrer","sa3018819",4.751,NA,NA,NA
"Andre Granillo","sa3016913",104.4684,NA,NA,NA
"Andre Jackson","21298",38.3425714285714,123.309,"REZ1",0.310947063300906
"Andre Pallante","26108",606.764764705882,523.891,"REZ1",1.15818894523075
"Andre Sanchez","sa3018297",4.743,NA,NA,NA
"Andre Scrubb","20329",56.237,NA,NA,NA
"Andres Cova","sa3024530",4.888,NA,NA,NA
"Andres Diaz","sa3006159",4.644,NA,NA,NA
"Andres Jimenez","sa3019648",5.089,NA,NA,NA
"Andres Machado","14681",42.0118571428571,136.394,"REZ1",0.30801836695791
"Andres Munoz","20373",256.038647058824,241.793,"REZ1",1.05891670585511
"Andres Nunez","sa3006796",4.363,NA,NA,NA
"Andres Parra","sa3018329",4.959,NA,NA,NA
"Andres Silvera","sa3016284",4.865,NA,NA,NA
"Andres Sotillet","sa917861",4.361,NA,NA,NA
"Andrew Abbott","29911",545.273882352941,375.572,"REZ1",1.45184913239789
"Andrew Albers","7853",4.391,NA,NA,NA
"Andrew Alvarez","sa3017531",248.188,NA,NA,NA
"Andrew Baker","sa3017196",104.741,NA,NA,NA
"Andrew Bash","sa3010259",163.222,NA,NA,NA
"Andrew Bechtold","sa829787",135,NA,NA,NA
"Andrew Bellatti","10657",111.824916666667,204.942,"REZ1",0.545641775071321
"Andrew Bolivar","sa3024521",4.87,NA,NA,NA
"Andrew Cabezas","sa3007461",4.373,NA,NA,NA
"Andrew Chafin","12988",224.388176470588,184.955,"REZ1",1.21320416571917
"Andrew Dalquist","sa3011841",138.274,NA,NA,NA
"Andrew Edwards","sa1170614",4.355,NA,NA,NA
"Andrew Gross","sa3010127",4.426,NA,NA,NA
"Andrew Heaney","15423",551.478235294118,529.92,"REZ1",1.04068205633703
"Andrew Hoffmann","sa3017202",198.2,NA,NA,NA
"Andrew Kittredge","12828",261.135941176471,212.335,"REZ1",1.22982994408115
"Andrew Landry","sa3024982",4.739,NA,NA,NA
"Andrew Lee","sa856275",4.39,NA,NA,NA
"Andrew Magno","sa3010824",132.694,NA,NA,NA
"Andrew Marrero","sa3016941",109.24,NA,NA,NA
"Andrew McInvale","sa3011143",4.417,NA,NA,NA
"Andrew Miller","6785",4.401,NA,NA,NA
"Andrew Misiaszek","sa3010118",137.928666666667,NA,NA,NA
"Andrew Mitchell","sa3007801",4.429,NA,NA,NA
"Andrew Moore","17553",4.321,NA,NA,NA
"Andrew Moore","sa3016795",162.1586,NA,NA,NA
"Andrew Morris","sa3020569",109.630366666667,NA,NA,NA
"Andrew Nardi","25942",234.970352941176,181.232,"REZ1",1.29651691169979
"Andrew Painter","sa3017880",283.960428571429,NA,NA,NA
"Andrew Perez","sa3006640",4.382,NA,NA,NA
"Andrew Politi","sa3007243",111.669,NA,NA,NA
"Andrew Quezada","sa3009858",180.2475,NA,NA,NA
"Andrew Saalfrank","26203",128.35456,147.417,"REZ1",0.870690354572403
"Andrew Schultz","sa3010782",89.2625,NA,NA,NA
"Andrew Sears","sa3023133",4.643,NA,NA,NA
"Andrew Shaps","sa3008430",4.713,NA,NA,NA
"Andrew Suarez","18300",135.677833333333,175.767,"REZ1",0.771918695394092
"Andrew Taylor","sa3020873",4.507,NA,NA,NA
"Andrew Vasquez","19482",163.1775,310.575,"REZ1",0.525404491668679
"Andrew Walling","sa3020319",108.2075,NA,NA,NA
"Andrew Walters","33834",210.050266666667,165.814,"REZ1",1.26678245906055
"Andrew Wantz","24933",83.9467636363636,124.619,"REZ1",0.673627325178052
"Andry Lara","sa3014716",177.5166,NA,NA,NA
"Andy Basora","sa3019168",4.824,NA,NA,NA
"Andy Fisher","sa1172135",4.472,NA,NA,NA
"Andy Luis","sa3015633",5.086,NA,NA,NA
"Andy Otero","sa506550",4.371,NA,NA,NA
"Andy Rodriguez","sa3017620",4.746,NA,NA,NA
"Andy Rodriguez","sa3020863",118.756,NA,NA,NA
"Andy Santana","sa3002957",4.796,NA,NA,NA
"Anel Cabrera","sa3021033",5.005,NA,NA,NA
"Aneudis George","sa3016514",4.988,NA,NA,NA
"Aneudis Mejia","sa3019960",4.792,NA,NA,NA
"Aneudy Cortorreal","sa3009242",4.753,NA,NA,NA
"Aneuris Rodriguez","sa3019393",4.859,NA,NA,NA
"Aneuris Rosario","sa828343",4.392,NA,NA,NA
"Aneury Lora","sa3019365",4.609,NA,NA,NA
"Aneurys Zabala","20802",4.329,NA,NA,NA
"Anfernny Reyes","sa3018807",4.769,NA,NA,NA
"Angel Acevedo","sa917893",4.419,NA,NA,NA
"Angel Alfonseca","sa3015308",4.833,NA,NA,NA
"Angel Anazco","sa3021494",4.744,NA,NA,NA
"Angel Bastardo","sa3009716",114.378428571429,NA,NA,NA
"Angel Bello","sa3024272",4.842,NA,NA,NA
"Angel Beltran","sa3024556",4.956,NA,NA,NA
"Angel Camacho","sa3022175",4.953,NA,NA,NA
"Angel Chivilli","26790",231.592176470588,196.807,"REZ1",1.17674765872448
"Angel Cruz","sa3020988",5.068,NA,NA,NA
"Angel Cuenca","sa3006414",4.596,NA,NA,NA
"Angel De Jesus","22323",4.394,NA,NA,NA
"Angel Felipe","21163",50.7847142857143,166.934,"REZ1",0.304220316326897
"Angel Gonzalez","sa3015160",4.782,NA,NA,NA
"Angel Hernandez","sa3015363",4.721,NA,NA,NA
"Angel Hernandez","sa3019189",5.04,NA,NA,NA
"Angel Jimenez","sa3018287",4.749,NA,NA,NA
"Angel Macuare","sa3003039",144.6965,NA,NA,NA
"Angel Perdomo","17759",204.143529411765,169.958,"REZ1",1.20114104315045
"Angel Reyes","sa3006985",131.7415,NA,NA,NA
"Angel Roman","sa3018314",4.617,NA,NA,NA
"Angel Rondon","22036",4.411,NA,NA,NA
"Angel Sanchez","11776",4.37,NA,NA,NA
"Angel Tello","sa3019121",5.01,NA,NA,NA
"Angel Zerpa","22717",261.781352941176,282.315,"REZ1",0.927266893155434
"Angello Infante","sa916705",4.669,NA,NA,NA
"Anibal Sanchez","3284",4.442,NA,NA,NA
"Ankeily Feliz","sa3018803",4.975,NA,NA,NA
"Anthony Arguelles","sa3023266",4.675,NA,NA,NA
"Anthony Banda","14706",248.305764705882,244.894,"REZ1",1.01393159777652
"Anthony Bass","7982",44.374,144.519,"REZ1",0.30704613234246
"Anthony Bello","sa3019565",4.97,NA,NA,NA
"Anthony Bender","19742",238.959941176471,171.471,"REZ1",1.39358807714698
"Anthony Castro","19789",4.357,NA,NA,NA
"Anthony Crespo","sa3023139",4.831,NA,NA,NA
"Anthony Cruz","sa3019534",4.837,NA,NA,NA
"Anthony DeSclafani","13050",232.411294117647,189.024,"REZ1",1.22953325565879
"Anthony Escobar","sa3005691",4.796,NA,NA,NA
"Anthony Flores","sa3019377",4.624,NA,NA,NA
"Anthony Garcia","sa3019661",4.714,NA,NA,NA
"Anthony Gose","5097",99.1078333333333,149.102,"REZ1",0.664698215539251
"Anthony HoopiiTuionetoa","sa3015298",110.286,NA,NA,NA
"Anthony Kay","20387",58.6325714285714,194.484,"REZ1",0.301477609616068
"Anthony Maldonado","26034",119.021111111111,100.618,"REZ1",1.18290078426436
"Anthony Mendez","sa3015992",4.801,NA,NA,NA
"Anthony Misiewicz","18152",113.637694117647,158.133,"REZ1",0.718620996993967
"Anthony Molina","26952",191.511176470588,308.428,"REZ1",0.620926687818837
"Anthony Narvaez","sa3019521",4.652,NA,NA,NA
"Anthony Perez","sa3016623",5.011,NA,NA,NA
"Anthony Simonelli","sa3017312",134.197,NA,NA,NA
"Anthony Solometo","sa3018259",213.745,NA,NA,NA
"Anthony Swarzak","7466",4.32,NA,NA,NA
"Anthony Tomczak","sa3011763",4.598,NA,NA,NA
"Anthony Veneziano","27453",244.856176470588,169.183,"REZ1",1.44728593576534
"Anthony Vizcaya","sa657689",61.675,NA,NA,NA
"Antoine Kelly","sa3011135",124.2555,NA,NA,NA
"Antoni Cuello","sa3015947",5.058,NA,NA,NA
"Antonio Florido","sa3018890",4.938,NA,NA,NA
"Antonio Jimenez","sa3008074",150.2778,NA,NA,NA
"Antonio Knowles","sa3017387",110.7585,NA,NA,NA
"Antonio Menendez","sa3018799",124.2155,NA,NA,NA
"Antonio Santos","20383",133.137,NA,NA,NA
"Antonio Senzatela","15488",502.081294117647,357.258,"REZ1",1.40537453078069
"Antonio Velez","sa3014850",4.327,NA,NA,NA
"Antwone Kelly","sa3015489",4.667,NA,NA,NA
"Anyelo Ovando","sa3015996",4.634,NA,NA,NA
"Anyer Laureano","sa3019123",4.81,NA,NA,NA
"Archie Bradley","12918",52.265,171.925,"REZ1",0.30399883670205
"Argenis Angulo","sa829470",4.382,NA,NA,NA
"Argenis Aparicio","sa3021643",4.847,NA,NA,NA
"Ariel Jurado","17030",4.333,NA,NA,NA
"Arielbi Gonzalez","sa3016800",4.657,NA,NA,NA
"Arij Fransen","sa3015369",4.533,NA,NA,NA
"Arlison Rodriguez","sa3018823",4.909,NA,NA,NA
"Armando Vasquez","sa3018283",4.682,NA,NA,NA
"Arnaldo Hernandez","sa828154",4.384,NA,NA,NA
"Arodys Vizcaino","5498",4.325,NA,NA,NA
"Aroldis Chapman","10233",265.752294117647,263.131,"REZ1",1.00996193575689
"Art Warren","18251",75.7155,NA,NA,NA
"Asa Lacy","sa3014423",4.544,NA,NA,NA
"Asher Wojciechowski","10836",4.394,NA,NA,NA
"Ashton Goudeau","15139",4.47,NA,NA,NA
"Ashton Izzi","sa3022230",4.636,NA,NA,NA
"Audry Lugo","sa3008710",4.701,NA,NA,NA
"Augusto Calderon","sa3006406",4.682,NA,NA,NA
"Austin Adams","13801",121.377823529412,102.301,"REZ1",1.18647739053784
"Austin Aldeano","sa3016259",4.854,NA,NA,NA
"Austin Amaral","sa3022903",4.638,NA,NA,NA
"Austin Becker","sa3020465",4.776,NA,NA,NA
"Austin Bergner","sa3011122",179.1985,NA,NA,NA
"Austin Brice","17237",72.233,NA,NA,NA
"Austin Briggs","sa3007261",4.555,NA,NA,NA
"Austin Cox","24604",176.503666666667,188.027,"REZ1",0.938714475403355
"Austin Davis","17117",103.139036363636,176.66,"REZ1",0.583827897450676
"Austin Drury","sa3008043",4.49,NA,NA,NA
"Austin Emener","sa3022799",4.671,NA,NA,NA
"Austin Gomber","16561",607.017529411765,466.982,"REZ1",1.29987350564211
"Austin Hansen","sa3006956",4.43,NA,NA,NA
"Austin Hedges","12976",27,NA,NA,NA
"Austin Kitchen","27910",122.49425,111.643,"REZ1",1.09719597287783
"Austin Krob","sa3020594",240.6775,NA,NA,NA
"Austin Lambright","sa3007236",4.671,NA,NA,NA
"Austin Love","sa3017609",4.488,NA,NA,NA
"Austin Peterson","sa3020868",276.642,NA,NA,NA
"Austin Pope","sa3010816",135.173,NA,NA,NA
"Austin Pruitt","15290",120.056666666667,256.955,"REZ1",0.46722837332088
"Austin Roberts","sa3010254",133.189,NA,NA,NA
"Austin Ross","sa3007817",4.357,NA,NA,NA
"Austin Schulfer","sa3007585",129.6755,NA,NA,NA
"Austin Smith","sa3017071",69.245,NA,NA,NA
"Austin Strickland","sa3023380",4.615,NA,NA,NA
"Austin Temple","sa3020263",4.755,NA,NA,NA
"Austin Troesser","sa3023281",4.533,NA,NA,NA
"Austin Vernon","sa3017138",130.733,NA,NA,NA
"Austin Voth","15047",172.101454545455,186.876,"REZ1",0.920939310266993
"Austin Warner","sa3004494",4.382,NA,NA,NA
"Austin Warren","24937",80.9591882352941,148.949,"REZ1",0.543536299238626
"Avery Short","sa3011712",4.502,NA,NA,NA
"Avery Weems","sa3010256",4.308,NA,NA,NA
"Ayendy Bravo","sa3024090",4.922,NA,NA,NA
"Bailey Dees","sa3017946",235.724,NA,NA,NA
"Bailey Falter","20070",507.335705882353,399.303,"REZ1",1.27055320366327
"Bailey Horn","27753",126.980305882353,178.228,"REZ1",0.712459915851342
"Bailey Ober","21224",653.758,512.344,"REZ1",1.27601377199694
"Bailey Reid","sa3014867",4.73,NA,NA,NA
"Baron Stuart","sa3020888",212.239,NA,NA,NA
"Barrett Kent","sa3023082",4.682,NA,NA,NA
"Barrett Loseke","sa3008243",4.365,NA,NA,NA
"Bayant Melo","sa3022028",5.033,NA,NA,NA
"Bayden Root","sa3023040",4.643,NA,NA,NA
"Bear Bellomy","sa1170484",4.384,NA,NA,NA
"Beau Brieske","26079",283.250529411765,262.765,"REZ1",1.07796140814707
"Beau Burrows","18873",138.729,NA,NA,NA
"Beau Sulser","23420",168.1405,NA,NA,NA
"Beck Way","sa3014462",150.748,NA,NA,NA
"Ben Anderson","sa3010560",184.6975,NA,NA,NA
"Ben Beutel","sa3019848",4.583,NA,NA,NA
"Ben Bowden","20198",89.1815,NA,NA,NA
"Ben Braymer","20175",4.455,NA,NA,NA
"Ben Brecht","sa3011218",4.473,NA,NA,NA
"Ben Brown","23590",251.828294117647,441.855,"REZ1",0.569934241137131
"Ben Brutti","sa3021478",4.71,NA,NA,NA
"Ben Casparius","30085",149.342117647059,214.478,"REZ1",0.696305064608299
"Ben Ethridge","sa3020820",4.726,NA,NA,NA
"Ben Gross","sa1119979",4.412,NA,NA,NA
"Ben Harris","sa3017779",105.776,NA,NA,NA
"Ben Hecht","sa738501",4.492,NA,NA,NA
"Ben Heller","15100",86.8333454545455,162.803,"REZ1",0.533364529244212
