"name","playerid","new_GS","GS","Source","GS_adj_rate"
"Thomas Balboni Jr","sa3020861",0,NA,NA,NA
"Thomas Bruss","sa3023480",0,NA,NA,NA
"Thomas Burrows","sa874215",0,NA,NA,NA
"Thomas Eshelman","18361",0.1332,NA,NA,NA
"Thomas Farr","sa3017720",11.0877,NA,NA,NA
"Thomas Girard","sa3015011",0,NA,NA,NA
"Thomas Harrington","sa3020752",5.38582166666667,NA,NA,NA
"Thomas Hatch","19264",0.320642857142857,1.046,"REZ1",0.306541928434854
"Thomas Ireland","sa3021469",0.1505,NA,NA,NA
"Thomas Jankins","sa873276",0.0516,NA,NA,NA
"Thomas Pannone","17281",10.8883333333333,5.33,"REZ1",2.04283927454659
"Thomas Ponticelli","sa3007730",3.5835,NA,NA,NA
"Thomas Ruwe","sa3014874",0,NA,NA,NA
"Thomas Schultz","sa3022936",0,NA,NA,NA
"Thomas Szapucki","21065",0.034,NA,NA,NA
"Thomas White","sa3023268",0.1754,NA,NA,NA
"Thyago Vieira","14510",-0.730666666666667,-4.384,"REZ1",0.166666666666667
"Tim Adleman","10968",0.1489,NA,NA,NA
"Tim Brennan","sa3008630",5.57665,NA,NA,NA
"Tim Cate","sa3007926",3.5077,NA,NA,NA
"Tim Elliott","sa1169632",0,NA,NA,NA
"Tim Herrin","25139",0.134294117647059,0.761,"REZ1",0.176470588235294
"Tim Hill","16814",-0.0712941176470588,-0.404,"REZ1",0.176470588235294
"Tim Holdgrafer","sa3019458",0,NA,NA,NA
"Tim Mayza","15042",-0.165529411764706,-0.938,"REZ1",0.176470588235294
"Tim Naughton","sa3004713",0.5,NA,NA,NA
"Timmy Manning","sa3023173",0,NA,NA,NA
"Tink Hence","sa3014709",6.55406428571429,NA,NA,NA
"Tobias Myers","22191",23.2646705882353,20.685,"REZ1",1.12471213866257
"Todd Peterson","sa3011334",1.0173,NA,NA,NA
"Tom Cosgrove","23443",0.545058823529412,2.422,"REZ1",0.225044931267305
"Tom Reisinger","sa3022958",0.107,NA,NA,NA
"Tomas Cleto","sa3016009",0.0846,NA,NA,NA
"Tomas Reyes","sa3008445",0,NA,NA,NA
"Tommy Doyle","21281",0.322705882352941,1.162,"REZ1",0.277715905639364
"Tommy Eveld","sa918150",0,NA,NA,NA
