"name","playerid","new_LOB%","LOB%","Source","LOB%_adj_rate"
"Santiago Ramirez","sa3018875",0.678891,NA,NA,NA
"Santiago Rojas","sa3024585",0.667166,NA,NA,NA
"Santiago Sojo","sa3018811",0.676667,NA,NA,NA
"Santiago Suarez","sa3019386",0.684641,NA,NA,NA
"Saul Garcia","sa3017106",0.698649,NA,NA,NA
"Saul Gonzalez","sa3008360",0.695804,NA,NA,NA
"Saul Sanchez","sa3021786",0.673961,NA,NA,NA
"Saul Siri","sa3022047",0.670892,NA,NA,NA
"Saul Teran","sa3018296",0.693356,NA,NA,NA
"Sauryn Lao","sa917331",0.711744,NA,NA,NA
"Sawyer GipsonLong","26048",0.725342823529412,0.815,"REZ1",0.889991194514616
"Scarlyn Lebron","sa3016277",0.686392,NA,NA,NA
"Scott Alexander","10591",0.712923764705882,0.734,"REZ1",0.971285782978041
"Scott Barlow","14993",0.728054,0.709,"REZ1",1.02687447108604
"Scott Blewett","16427",0.687394352941176,0.625,"REZ1",1.09983096470588
"Scott Boches","sa3004022",0.730101,NA,NA,NA
"Scott Effross","18384",0.696453647058824,0.635,"REZ1",1.09677739694303
"Scott Engler","sa918353",0.6942165,NA,NA,NA
"Scott Kazmir","4897",0.720053,NA,NA,NA
"Scott Kobos","sa3014856",0.726506,NA,NA,NA
"Scott McGough","12056",0.691431647058824,0.617,"REZ1",1.120634760225
"Scott Randall","sa3017752",0.695237,NA,NA,NA
"Sean Boyle","sa3007618",0.6947655,NA,NA,NA
"Sean Burke","29878",0.717494705882353,0.73,"REZ1",0.982869460112812
"Sean Doolittle","1581",0.725593,NA,NA,NA
"Sean Guenther","20045",0.709476235294118,0.693,"REZ1",1.02377523130464
"Sean Harney","sa3020472",0.6839925,NA,NA,NA
"Sean Hermann","sa3019429",0.688716,NA,NA,NA
"Sean Hjelle","21481",0.722407529411765,0.78,"REZ1",0.926163499245852
"Sean Hunley","sa3017316",0.6815905,NA,NA,NA
"Sean Kealey","sa3015134",0.731817,NA,NA,NA
"Sean Linan","sa3019270",0.691642,NA,NA,NA
"Sean Manaea","15873",0.710267411764706,0.702,"REZ1",1.01177693983576
"Sean McLaughlin","sa659266",0.71096,NA,NA,NA
"Sean Mellen","sa3011865",0.719199,NA,NA,NA
"Sean Mooney","sa3014913",0.708001,NA,NA,NA
"Sean Mullen","sa3017843",0.686112,NA,NA,NA
"Sean Newcomb","16943",0.714964909090909,0.742,"REZ1",0.963564567507964
"Sean Nolin","11341",0.720004285714286,0.724,"REZ1",0.994481057616417
"Sean Poppen","19583",0.707419,NA,NA,NA
"Sean Rackoski","sa3006964",0.7152,NA,NA,NA
"Sean ReidFoley","17034",0.738015764705882,0.753,"REZ1",0.980100617139286
"Sean Reynolds","22253",0.738759764705882,0.794,"REZ1",0.930427915246703
"Sean Sullivan","sa3018185",0.689614,NA,NA,NA
"Sean Sullivan","sa3023162",0.681038,NA,NA,NA
"Sean Wymer","sa3007204",0.713267,NA,NA,NA
"Sebastian Estiven","sa3022372",0.666072,NA,NA,NA
"Sebastian Javier","sa3016606",0.675072,NA,NA,NA
"Sebastian Keane","sa3020953",0.691753,NA,NA,NA
"Sem Robberse","sa3011735",0.704554428571429,NA,NA,NA
"Serafino Brito","sa3010312",0.702583,NA,NA,NA
"Seranthony Dominguez","19249",0.729848705882353,0.696,"REZ1",1.04863319810683
"Sergio Caruci","sa3015448",0.675183,NA,NA,NA
"Sergio Morillo","sa3005196",0.700817,NA,NA,NA
"Sergio Romo","9817",0.699023,NA,NA,NA
"Sergio Sanchez","sa3009735",0.674833,NA,NA,NA
"Sergio Umana","sa3009623",0.689514,NA,NA,NA
"Seth Blair","sa526934",0.70147,NA,NA,NA
"Seth Chavez","sa3023005",0.692302,NA,NA,NA
"Seth Clark","sa3020630",0.6900825,NA,NA,NA
"Seth Corry","sa3004648",0.689328,NA,NA,NA
"Seth Elledge","19766",0.7025355,NA,NA,NA
"Seth Frankoff","11346",0.693799,NA,NA,NA
"Seth Halvorsen","33294",0.692594823529412,0.652,"REZ1",1.06226199927824
"Seth Johnson","26020",0.673950588235294,0.637,"REZ1",1.05800720288115
"Seth Keener","sa3022949",0.692732,NA,NA,NA
"Seth Keller","sa3020397",0.679908,NA,NA,NA
"Seth Lonsway","sa3017857",0.692541,NA,NA,NA
"Seth Lugo","12447",0.722857529411765,0.773,"REZ1",0.935132638307587
"Seth Martinez","21045",0.732211882352941,0.784,"REZ1",0.933943727490996
"Seth Mayberry","sa3010244",0.726028,NA,NA,NA
"Seth Nightingale","sa3020877",0.689519,NA,NA,NA
"Seth Nordlin","sa3004215",0.692647,NA,NA,NA
"Seth Shuman","sa3011187",0.682483,NA,NA,NA
"Seunghwan Oh","18719",0.705177,NA,NA,NA
"Shaddon Peavyhouse","sa3020802",0.69741,NA,NA,NA
"Shane Baz","22264",0.713539882352941,0.723,"REZ1",0.986915466601578
"Shane Bieber","19427",0.727495294117647,0.717,"REZ1",1.01463778816966
"Shane Connolly","sa3017320",0.686587,NA,NA,NA
"Shane Davis","sa3015007",0.682048,NA,NA,NA
"Shane Drohan","sa3014447",0.7066505,NA,NA,NA
"Shane Gray","sa3020662",0.69889,NA,NA,NA
"Shane Greene","10756",0.6928575,0.751,"REZ1",0.922579893475366
"Shane Gustafson","sa3019610",0.686856,NA,NA,NA
"Shane Marshall","sa3023405",0.690188,NA,NA,NA
"Shane McCarthy","sa915740",0.716653,NA,NA,NA
"Shane McClanahan","21483",0.744508823529412,0.739,"REZ1",1.00745442967444
"Shane Murphy","sa3020389",0.698151,NA,NA,NA
"Shane Panzini","sa3018257",0.677678,NA,NA,NA
"Shane Rademacher","sa3023258",0.692841,NA,NA,NA
"Shane Smith","sa3020469",0.706071666666667,NA,NA,NA
"Shane Telfer","sa3022736",0.695463,NA,NA,NA
"Shaun Anderson","19453",0.702475833333333,0.673,"REZ1",1.04379767211491
"Shawn Armstrong","12857",0.719136117647059,0.778,"REZ1",0.924339482836837
"Shawn Dubin","24977",0.720617058823529,0.716,"REZ1",1.00644840617811
"Shawn Morimando","13606",0.719012,NA,NA,NA
"Shawn Rapp","sa3020743",0.713331,NA,NA,NA
"Shawn Semple","sa3004661",0.685226,NA,NA,NA
"Shawndrick Oduber","sa3021483",0.673165,NA,NA,NA
"Shay Schanaman","sa3022933",0.697341,NA,NA,NA
"Shea Barry","sa1170345",0.673963,NA,NA,NA
"Shea Spitzbarth","18475",0.690772,NA,NA,NA
"Shelby Lackey","sa3006771",0.71046,NA,NA,NA
"Shelby Miller","10197",0.678899411764706,0.625,"REZ1",1.08623905882353
"Sheldon Reed","sa3017382",0.6942195,NA,NA,NA
"Shelton Perkins","sa1169965",0.714089,NA,NA,NA
"Shinnosuke Ogasawara","sa3058454",0.6863132,NA,NA,NA
"Shintaro Fujinami","31839",0.7143008,0.689,"REZ1",1.03672104499274
"Shohei Ohtani","19755",0.745343,NA,NA,NA
"Shohei Tomioka","sa3014808",0.6958845,NA,NA,NA
"Shota Imanaga","33829",0.741164352941176,0.73,"REZ1",1.015293634166
"Shun Yamaguchi","27460",0.730122,NA,NA,NA
"Silvano Hechavarria","sa3024856",0.670651,NA,NA,NA
"Silvino Bracho","15051",0.71803,0.724,"REZ1",0.991754143646409
"Simeon Woods Richardson","24494",0.718449647058824,0.805,"REZ1",0.892484033613445
"Simon Leandro","sa3022240",0.678298,NA,NA,NA
"Simon Miller","sa3023311",0.702398,NA,NA,NA
"Simon Pacheco","sa3016222",0.677958,NA,NA,NA
"Sixto Sanchez","19680",0.696771818181818,0.727,"REZ1",0.958420657746655
"Skylar Arias","sa918539",0.711564,NA,NA,NA
"Skylar Hales","sa3022739",0.703391,NA,NA,NA
"Skylar Szynski","sa917964",0.677992,NA,NA,NA
"Slade Cecconi","27500",0.711465764705882,0.785,"REZ1",0.906325814911952
"Smil Guzman","sa3019249",0.665869,NA,NA,NA
"Snarlyn Evangelista","sa3021013",0.67801,NA,NA,NA
"Soenni Martinez","sa3009605",0.703149,NA,NA,NA
"Solomon Bates","sa3006951",0.718631,NA,NA,NA
"Sonny Gray","12768",0.727761764705882,0.713,"REZ1",1.0207037373154
"Spencer Arrighetti","29921",0.725804,0.773,"REZ1",0.938944372574385
"Spencer Bengard","sa3023092",0.68625,NA,NA,NA
"Spencer Bivens","30226",0.716080823529412,0.731,"REZ1",0.979590729862396
"Spencer Giesting","sa3020402",0.7116085,NA,NA,NA
"Spencer Howard","23252",0.713143333333333,0.698,"REZ1",1.0216953199618
"Spencer Mraz","sa3010574",0.693864,NA,NA,NA
"Spencer Patton","12361",0.693081428571429,0.653,"REZ1",1.06138044191643
"Spencer Schwellenbach","31846",0.731508117647059,0.777,"REZ1",0.941451888863654
"Spencer Stockton","sa3011500",0.679589,NA,NA,NA
"Spencer Strider","27498",0.748650117647059,0.749,"REZ1",0.999532867352548
"Spencer Turnbull","16207",0.700312588235294,0.715,"REZ1",0.979458165364048
"Spenser Watkins","17489",0.688825833333333,0.686,"REZ1",1.00411929057337
"Stanly Alcantara","sa3022151",0.672289,NA,NA,NA
"Starlin Savinon","sa3021735",0.679401,NA,NA,NA
"Starlyn Castillo","sa3011608",0.680409,NA,NA,NA
"Starlyn Pichardo","sa3016774",0.691779,NA,NA,NA
"Stefan Crichton","16058",0.693204,NA,NA,NA
"Stefan Raeth","sa3020487",0.704593,NA,NA,NA
"Stephen Gonsalves","15492",0.709382,NA,NA,NA
"Stephen Jones","sa3009935",0.7012525,NA,NA,NA
"Stephen Kolek","21487",0.709116941176471,0.771,"REZ1",0.919736629282063
"Stephen Nogosek","19545",0.6970625,0.699,"REZ1",0.997228183118741
"Stephen Ridings","22358",0.739154,NA,NA,NA
"Stephen Strasburg","10131",0.702148,NA,NA,NA
"Stephen Woods Jr","sa737853",0.722636,NA,NA,NA
"Sterling Patick","sa3024981",0.690435,NA,NA,NA
"Sterling Sharp","19671",0.704525,NA,NA,NA
"Steve Cishek","6483",0.711704,NA,NA,NA
"Steve Hajjar","sa3018177",0.703153,NA,NA,NA
"Steven Brault","15291",0.718332,NA,NA,NA
"Steven Cruz","23165",0.731509176470588,0.806,"REZ1",0.90757962341264
"Steven Echavarria","sa3023560",0.682971,NA,NA,NA
"Steven Fuentes","sa828326",0.696768,NA,NA,NA
"Steven Fulgencio","sa3019427",0.69718,NA,NA,NA
"Steven Jennings","sa3004812",0.681899,NA,NA,NA
"Steven Klimek","sa876117",0.708586,NA,NA,NA
"Steven Matz","13361",0.723481411764706,0.763,"REZ1",0.948206306375761
"Steven Moyers","sa920718",0.707421,NA,NA,NA
"Steven Okert","13580",0.712194705882353,0.651,"REZ1",1.09400108430469
"Steven Perez","sa3008362",0.709048,NA,NA,NA
"Steven Sanchez","sa3016595",0.703724,NA,NA,NA
"Steven Wilson","20353",0.719001294117647,0.764,"REZ1",0.941101170311056
"Steven Zobac","sa3020875",0.6970685,NA,NA,NA
"Stevie Branche","sa3014866",0.6705865,NA,NA,NA
"Stevie Emanuels","sa3014698",0.711058,NA,NA,NA
"Stharlin Torres","sa3024080",0.668438,NA,NA,NA
"Stijn Van Der Schaaf","sa3021736",0.665412,NA,NA,NA
"Stiven Cruz","sa3015938",0.686764,NA,NA,NA
"Stiven Rogers","sa3024560",0.668428,NA,NA,NA
"Stiward Aquino","sa3002911",0.687988,NA,NA,NA
"Stu Flesland III","sa3023000",0.673103,NA,NA,NA
"Sulivan Ribeiro","sa3016747",0.683977,NA,NA,NA
"Sunayro Martina","sa3022106",0.678398,NA,NA,NA
"TJ Brock","sa3020079",0.7364205,NA,NA,NA
"TJ Czyz","sa3020398",0.689592,NA,NA,NA
"TJ Fondtain","sa3023271",0.708865,NA,NA,NA
"TJ McFarland","3237",0.695545176470588,0.679,"REZ1",1.02436697565624
"TJ Nichols","sa3023039",0.684209,NA,NA,NA
"TJ Shook","sa3014915",0.6923965,NA,NA,NA
"TJ Sikkema","sa3011191",0.674591,NA,NA,NA
"TJ Zeuch","19269",0.669611,NA,NA,NA
"Tahnaj Thomas","sa3003066",0.702651,NA,NA,NA
"Tai Tiedemann","sa918110",0.692866,NA,NA,NA
"Taijuan Walker","11836",0.688430235294118,0.71,"REZ1",0.969620049710025
"Taj Bradley","22543",0.714295529411765,0.657,"REZ1",1.08720780732384
"Tanner Andrews","sa3007850",0.71706,NA,NA,NA
"Tanner Banks","16990",0.722266235294118,0.72,"REZ1",1.00314754901961
"Tanner Bibee","30134",0.729697647058823,0.688,"REZ1",1.06060704514364
"Tanner Burns","sa3014451",0.715028,NA,NA,NA
"Tanner Cooper","sa1170930",0.690122,NA,NA,NA
"Tanner Dodson","sa3007008",0.693608,NA,NA,NA
"Tanner Gordon","27669",0.669185294117647,0.653,"REZ1",1.02478605531033
"Tanner Hall","sa3023481",0.689032,NA,NA,NA
"Tanner Houck","19879",0.706291176470588,0.723,"REZ1",0.976889594011879
"Tanner Jacobson","sa3020454",0.70351,NA,NA,NA
"Tanner Kiest","sa738380",0.7011385,NA,NA,NA
"Tanner Kohlhepp","sa3022238",0.708897,NA,NA,NA
"Tanner McDougal","sa3017471",0.696935,NA,NA,NA
"Tanner Myatt","sa3007719",0.705858,NA,NA,NA
"Tanner Propst","sa3015075",0.701731,NA,NA,NA
"Tanner Rainey","17610",0.705787058823529,0.737,"REZ1",0.957648655120121
"Tanner Scott","17586",0.757578588235294,0.734,"REZ1",1.0321234172143
"Tanner Shears","sa3020823",0.710007,NA,NA,NA
"Tanner Tully","19518",0.6905495,NA,NA,NA
"Tarik Skubal","22267",0.767778588235294,0.804,"REZ1",0.954948492829968
"Tate Kuehner","sa3023099",0.7056,NA,NA,NA
"Tayler Saucedo","17888",0.724338941176471,0.7,"REZ1",1.03476991596639
"Tayler Scott","13652",0.737099294117647,0.762,"REZ1",0.967321908290875
"Taylor Broadway","sa3017205",0.699467,NA,NA,NA
"Taylor Clarke","17611",0.692628588235294,0.651,"REZ1",1.06394560404807
"Taylor Cole","11964",0.697274,NA,NA,NA
"Taylor Dollard","sa3014982",0.712127,NA,NA,NA
"Taylor Floyd","sa3011367",0.7102805,NA,NA,NA
"Taylor Hearn","18325",0.743812857142857,0.753,"REZ1",0.98779927907418
"Taylor Lehman","sa3007834",0.6975455,NA,NA,NA
"Taylor Rashi","sa3011597",0.7208275,NA,NA,NA
"Taylor Rogers","13449",0.724285058823529,0.742,"REZ1",0.976125416204218
"Taylor Widener","19266",0.720234,NA,NA,NA
"Taylor Williams","14899",0.702444,NA,NA,NA
"Tayron Guerrero","11691",0.698376,NA,NA,NA
"Ted Stuka","sa3011238",0.695335,NA,NA,NA
"Teddy Stankiewicz","sa657954",0.683655,NA,NA,NA
"Tejay Antone","16233",0.686326705882353,0.618,"REZ1",1.11056101275462
"Tekoah Roby","sa3014519",0.685992857142857,NA,NA,NA
"Teofilo Mendez","sa3008795",0.691279,NA,NA,NA
"Thaddeus Ward","21513",0.701264352941176,0.712,"REZ1",0.984921844018506
"Theo Denlinger","sa3016908",0.694527,NA,NA,NA
"Theo McDowell","sa3007809",0.71403,NA,NA,NA
"Thomas Balboni Jr","sa3020861",0.708361,NA,NA,NA
"Thomas Bruss","sa3023480",0.695443,NA,NA,NA
"Thomas Burrows","sa874215",0.729547,NA,NA,NA
"Thomas Eshelman","18361",0.68114,NA,NA,NA
"Thomas Farr","sa3017720",0.647657,NA,NA,NA
"Thomas Girard","sa3015011",0.697154,NA,NA,NA
"Thomas Harrington","sa3020752",0.699534166666667,NA,NA,NA
"Thomas Hatch","19264",0.687124285714286,0.634,"REZ1",1.0837922487607
"Thomas Ireland","sa3021469",0.69404,NA,NA,NA
"Thomas Jankins","sa873276",0.717288,NA,NA,NA
"Thomas Pannone","17281",0.712705833333333,0.665,"REZ1",1.0717380952381
"Thomas Ponticelli","sa3007730",0.686124,NA,NA,NA
"Thomas Ruwe","sa3014874",0.718141,NA,NA,NA
"Thomas Schultz","sa3022936",0.697129,NA,NA,NA
"Thomas Szapucki","21065",0.753932,NA,NA,NA
"Thomas White","sa3023268",0.705148,NA,NA,NA
"Thyago Vieira","14510",0.741350833333333,0.739,"REZ1",1.00318110058638
"Tim Adleman","10968",0.710181,NA,NA,NA
"Tim Brennan","sa3008630",0.669401,NA,NA,NA
"Tim Cate","sa3007926",0.706742,NA,NA,NA
"Tim Elliott","sa1169632",0.699662,NA,NA,NA
"Tim Herrin","25139",0.733803058823529,0.686,"REZ1",1.06968375921797
"Tim Hill","16814",0.681756352941176,0.633,"REZ1",1.07702425425146
"Tim Holdgrafer","sa3019458",0.712172,NA,NA,NA
"Tim Mayza","15042",0.715847647058824,0.741,"REZ1",0.966056203858061
